都道府県名,陽性者数 検査人数,,%
北海道,25772,549765,4.7%
青森,1725,35153,4.9%
岩手,1059,59566,1.8%
宮城,8260,123609,6.7%
秋田,558,11000,5.1%
山形,1583,49720,3.2%
福島,3717,193681,1.9%
茨城,8459,30786,27.5%
栃木,5520,219213,2.5%
群馬,6503,144192,4.5%
埼玉,39292,779907,5.0%
千葉,34089,558398,6.1%
東京,144441,2065383,7.0%
神奈川,55098,828500,6.7%
新潟,2480,114233,2.2%
富山,1388,53430,2.6%
石川,2723,72550,3.8%
福井,934,50991,1.8%
山梨,1267,36365,3.5%
長野,4031,151970,2.7%
岐阜,6416,196079,3.3%
静岡,6712,303143,2.2%
愛知,35217,586218,6.0%
三重,4044,104528,3.9%
滋賀,4045,109307,3.7%
京都,13292,222215,6.0%
大阪,87650,1502585,5.8%
兵庫,33860,394855,8.6%
奈良,6743,131588,5.1%
和歌山,2323,35403,6.6%
鳥取,384,63825,0.6%
島根,368,21314,1.7%
岡山,4647,108427,4.3%
広島,6541,267317,2.4%
山口,1982,82172,2.4%
徳島,1442,45717,3.2%
香川,1433,63761,2.2%
愛媛,2469,63885,3.9%
高知,1113,8479,13.1%
福岡,25314,628501,4.0%
佐賀,1835,40493,4.5%
長崎,2364,95136,2.5%
熊本,4414,67229,6.6%
大分,2224,116958,1.9%
宮崎,2463,33156,7.4%
鹿児島,2461,81722,3.0%
沖縄,12899,195596,6.6%
長崎船,149,0,-
合計,623703,11698021,5.3%
