都道府県名,陽性者数 検査人数,,%
北海道,42386,820212,5.2%
青森,2579,53679,4.8%
岩手,1855,90975,2.0%
宮城,9549,166124,5.7%
秋田,974,16564,5.9%
山形,2084,68632,3.0%
福島,5171,297527,1.7%
茨城,11117,34230,32.5%
栃木,7397,317688,2.3%
群馬,8143,203483,4.0%
埼玉,49682,1025046,4.8%
千葉,43574,737214,5.9%
東京,189116,2670446,7.1%
神奈川,73113,1100250,6.6%
新潟,3577,182675,2.0%
富山,2085,77808,2.7%
石川,4212,129629,3.2%
福井,1421,74087,1.9%
山梨,2176,65656,3.3%
長野,5086,216101,2.4%
岐阜,9566,283937,3.4%
静岡,9833,429699,2.3%
愛知,52019,876763,5.9%
三重,5466,152748,3.6%
滋賀,5688,161781,3.5%
京都,17069,298367,5.7%
大阪,106746,2324809,4.6%
兵庫,41743,534767,7.8%
奈良,8595,178273,4.8%
和歌山,2742,42930,6.4%
鳥取,577,89337,0.6%
島根,583,32936,1.8%
岡山,7686,174589,4.4%
広島,11655,570271,2.0%
山口,3193,126574,2.5%
徳島,1700,68466,2.5%
香川,2132,90464,2.4%
愛媛,2794,100728,2.8%
高知,1955,58913,3.3%
福岡,36385,876874,4.1%
佐賀,2597,60378,4.3%
長崎,3272,131081,2.5%
熊本,6516,82840,7.9%
大分,3527,178153,2.0%
宮崎,3118,44922,6.9%
鹿児島,3776,115042,3.3%
沖縄,21812,268120,8.1%
長崎船,149,0,-
合計,838191,16701788,5.0%
