都道府県名,陽性者数 検査人数,,%
北海道,21361,460342,4.6%
青森,1108,26272,4.2%
岩手,713,47379,1.5%
宮城,6594,96746,6.8%
秋田,303,7916,3.8%
山形,1077,37680,2.9%
福島,2654,156790,1.7%
茨城,6908,27011,25.6%
栃木,4801,177482,2.7%
群馬,5131,117138,4.4%
埼玉,33609,667011,5.0%
千葉,30203,488981,6.2%
東京,123350,1803128,6.8%
神奈川,48775,714203,6.8%
新潟,1586,87307,1.8%
富山,965,42803,2.3%
石川,1973,61517,3.2%
福井,626,37652,1.7%
山梨,992,32134,3.1%
長野,2982,122915,2.4%
岐阜,5037,163633,3.1%
静岡,5849,254505,2.3%
愛知,27868,477626,5.8%
三重,2863,79034,3.6%
滋賀,2869,88655,3.2%
京都,9789,181445,5.4%
大阪,55748,1099255,5.1%
兵庫,20933,308291,6.8%
奈良,4098,100693,4.1%
和歌山,1384,27551,5.0%
鳥取,279,50607,0.6%
島根,288,18022,1.6%
岡山,2781,81422,3.4%
広島,5218,181607,2.9%
山口,1440,68811,2.1%
徳島,605,33567,1.8%
香川,935,53144,1.8%
愛媛,1561,42299,3.7%
高知,937,7485,12.5%
福岡,19160,520057,3.7%
佐賀,1233,32897,3.7%
長崎,1646,78802,2.1%
熊本,3526,58455,6.0%
大分,1326,94718,1.4%
宮崎,1966,24926,7.9%
鹿児島,1870,74841,2.5%
沖縄,10039,169174,5.9%
長崎船,149,0,-
合計,487108,9583929,5.1%
