都道府県名,陽性者数 検査人数,,%
北海道,1351,25483,5.3%
⻘森,30,1297,2.3%
岩手,0,1279,0.0%
宮城,136,5177,2.6%
秋田,16,1048,1.5%
山形,75,2826,2.7%
福島,84,8639,1.0%
茨城,230,6329,3.6%
栃木,136,11119,1.2%
群馬,169,7106,2.4%
埼玉,1830,54741,3.3%
千葉,1333,24141,5.5%
東京,9816,147314,6.7%
神奈川,2039,15855,12.9%
新潟,90,5779,1.6%
富山,233,4855,4.8%
石川,306,3026,10.1%
福井,126,4234,3.0%
山梨,79,6617,1.2%
⻑野,86,5343,1.6%
岐阜,194,7528,2.6%
静岡,109,9608,1.1%
愛知,655,16041,4.1%
三重,58,3335,1.7%
滋賀,117,3359,3.5%
京都,566,14454,3.9%
大阪,2541,56462,4.5%
兵庫,841,19396,4.3%
奈良,163,5045,3.2%
和歌山,96,5105,1.9%
鳥取,5,2246,0.2%
島根,25,2010,1.2%
岡山,44,2398,1.8%
広島,213,9379,2.3%
山口,42,3319,1.3%
徳島,10,1440,0.7%
香川,44,3921,1.1%
愛媛,83,2743,3.0%
高知,76,2137,3.6%
福岡,1060,19537,5.4%
佐賀,49,1801,2.7%
⻑崎,44,5020,0.9%
熊本,51,4588,1.1%
大分,60,5819,1.0%
宮崎,20,1838,1.1%
鹿児島,172,8314,2.1%
沖縄,155,3777,4.1%
⻑崎船,149,-,-
合計,25807,562828,4.6%
