都道府県名,陽性者数,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1351,25483,85,5,1164,102
⻘森,30,1297,4,0,25,1
岩手,0,1279,0,0,0,0
宮城,136,5177,26,0,109,1
秋田,16,1048,0,0,16,0
山形,75,2826,3,0,72,1
福島,84,8639,2,0,82,0
茨城,230,6329,23,2,197,10
栃木,136,11119,47,0,91,0
群馬,169,7106,13,1,137,19
埼玉,1830,54741,452,7,1308,70
千葉,1333,24141,249,2,1038,46
東京,9816,147314,1976,14,7513,327
神奈川,2039,15855,173,7,1768,98
新潟,90,5779,5,0,84,0
富山,233,4855,5,0,206,22
石川,306,3026,9,1,270,27
福井,126,4234,3,0,115,8
⼭梨,79,6617,3,0,75,1
⻑野,86,5343,9,0,77,-
岐阜,194,7528,32,0,155,7
静岡,109,9608,20,0,88,1
愛知,655,16041,130,0,491,34
三重,58,3335,9,0,47,1
滋賀,117,3359,13,1,103,1
京都,566,14454,138,1,410,18
大阪,2541,56462,497,8,1958,86
兵庫,841,19396,91,0,705,45
奈良,163,5045,47,1,114,2
和歌山,96,5105,18,1,75,3
鳥取,5,2246,2,0,3,0
島根,25,2010,1,0,24,0
岡山,44,2398,13,-,31,-
広島,213,9379,33,0,178,3
山口,42,3319,5,0,37,0
徳島,10,1440,5,0,4,1
香川,44,3921,16,0,28,0
愛媛,83,2743,1,0,77,5
高知,76,2137,1,0,72,3
福岡,1060,19537,157,4,870,33
佐賀,49,1801,2,0,47,0
⻑崎,44,5020,27,-,16,1
熊本,51,4588,2,0,46,3
大分,60,5819,0,0,59,1
宮崎,20,1838,2,0,18,0
⿅児島,172,8314,63,0,108,0
沖縄,155,3777,9,0,143,7
(その他),149,-,0,-,149,-
合計,25807,562828,4421,55,20403,988
