都道府県名,陽性者数 検査人数,,%
北海道,2347,64209,3.7%
青森,37,2590,1.4%
,24,4599,0.5%
宮城,484,11436,4.2%
秋田,59,2309,2.6%
山形,81,5283,1.5%
福島,314,22904,1.4%
茨城,709,12878,5.5%
栃木,445,33448,1.3%
群馬,759,24772,3.1%
埼玉,5082,152740,3.3%
千葉,4311,104962,4.1%
東京,27715,503424,5.5%
神奈川,7508,167935,4.5%
新潟,179,16249,1.1%
富山,422,13250,3.2%
石川,780,14384,5.4%
福井,249,10194,2.4%
山梨,196,10962,1.8%
長野,320,20010,1.6%
岐阜,634,24149,2.6%
静岡,565,37352,1.5%
,5525,84316,6.6%
三重,537,14087,3.8%
滋賀,514,12837,4.0%
京都,1809,45380,4.0%
大阪,11154,201310,5.5%
,2893,60792,4.8%
奈良,599,21963,2.7%
和歌山,249,9683,2.6%
鳥取,36,5528,0.7%
島根,140,5930,2.4%
岡山,163,8654,1.9%
広島,627,22098,2.8%
山口,209,10628,2.0%
徳島,149,7085,2.1%
香川,94,11526,0.8%
愛媛,115,4175,2.8%
高知,139,3540,3.9%
,5101,143502,3.6%
佐賀,248,6282,3.9%
長崎,239,19903,1.2%
熊本,690,17694,3.9%
大分,158,18138,0.9%
宮崎,344,8656,4.0%
鹿児島,447,20254,2.2%
沖縄,2740,44353,6.2%
長崎船,149,0,-
合計,88288,2068353,4.3%
