都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2347,64209,211,0,2029,107
青 森,37,2590,1,0,35,1
岩手,24,4599,1,0,23,0
宮城,484,11436,62,1,420,2
秋  田,59,2309,5,0,53,0
山形,81,5283,4,0,76,1
福島,314,22904,70,4,240,4
茨城,709,12878,53,5,639,17
栃木,445,33448,23,0,424,1
群馬,759,24772,44,5,692,19
埼玉,5082,152740,407,8,4573,102
千葉,4311,104962,349,13,3889,73
東京,27715,503424,2085,24,25209,421
神奈川,7508,167935,496,19,6862,150
新潟,179,16249,10,0,169,0
富山,422,13250,7,0,389,26
石川,780,14384,21,0,712,47
福井,249,10194,4,0,234,11
山梨,196,10962,9,1,182,6
長野,320,20010,12,0,307,1
岐阜,634,24149,12,1,612,10
静岡,565,37352,24,0,539,2
愛知,5525,84316,256,10,5179,90
三重,537,14087,30,0,500,7
滋賀,514,12837,16,0,490,8
京都,1809,45380,63,2,1719,27
大阪,11154,201310,470,24,10448,223
兵庫,2893,60792,141,11,2693,59
奈良,599,21963,27,0,563,9
和歌山,249,9683,8,0,234,4
鳥取,36,5528,2,0,34,0
島根,140,5930,0,0,140,0
岡山,163,8654,8,3,152,1
広島,627,22098,55,0,568,3
山口,209,10628,10,1,197,2
徳島,149,7085,0,0,131,9
香川,94,11526,1,0,91,2
愛媛,115,4175,1,0,108,6
高知,139,3540,1,0,134,4
福岡,5101,143502,76,6,4926,99
佐賀,248,6282,3,0,247,0
長崎,239,19903,3,0,233,3
熊本,690,17694,70,1,590,8
大分,158,18138,1,0,155,2
宮崎,344,8656,0,0,344,1
鹿児島,447,20254,31,0,413,12
沖縄,2740,44353,260,7,2436,48
(その他),149,-,0,-,149,-
合計,88288,2068353,5443,146,81182,1628
