都道府県名,陽性者数 検査人数,,%
北海道,20611,434522,4.7%
青森,921,23933,3.8%
岩手,596,42164,1.4%
宮城,5120,83765,6.1%
秋田,279,7416,3.8%
山形,752,32410,2.3%
福島,2387,139730,1.7%
茨城,6533,25917,25.2%
栃木,4474,168378,2.7%
群馬,4890,109704,4.5%
埼玉,32094,627011,5.1%
千葉,29014,467237,6.2%
東京,118855,1718024,6.9%
神奈川,47462,674342,7.0%
新潟,1347,78441,1.7%
富山,930,40768,2.3%
石川,1899,58826,3.2%
福井,553,34673,1.6%
山梨,956,29599,3.2%
長野,2614,111781,2.3%
岐阜,4875,154175,3.2%
静岡,5558,237667,2.3%
愛知,26883,449089,6.0%
三重,2669,73145,3.6%
滋賀,2720,84114,3.2%
京都,9313,172097,5.4%
大阪,49948,981902,5.1%
兵庫,19130,285482,6.7%
奈良,3575,93334,3.8%
和歌山,1228,25895,4.7%
鳥取,211,45990,0.5%
島根,285,17590,1.6%
岡山,2637,75671,3.5%
広島,5096,176621,2.9%
山口,1403,66920,2.1%
徳島,498,30114,1.7%
香川,780,49506,1.6%
愛媛,1193,36665,3.3%
高知,914,7424,12.3%
福岡,18825,496109,3.8%
佐賀,1164,31372,3.7%
長崎,1622,74887,2.2%
熊本,3494,57733,6.1%
大分,1302,90030,1.4%
宮崎,1953,24807,7.9%
鹿児島,1778,71639,2.5%
沖縄,8988,160567,5.6%
長崎船,149,0,-
合計,460478,8979186,5.1%
