都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,5880,113037,1903,18,3846,131
青 森,280,6271,27,2,247,6
岩手,86,6865,60,0,22,0
宮城,1027,16829,190,5,829,8
秋  田,74,3152,7,1,67,0
山形,100,7078,14,0,85,1
福島,453,36109,45,5,402,6
茨城,1071,15243,215,5,838,18
栃木,527,48922,34,4,493,2
群馬,974,33422,46,2,898,20
埼玉,7122,212609,861,15,6138,123
千葉,6003,148372,644,8,5275,84
東京,35722,686965,3024,39,32222,476
神奈川,10575,229196,1029,38,9363,183
新潟,273,20328,86,1,187,0
富山,435,15674,10,0,399,26
石川,830,20120,7,0,774,49
福井,289,12776,28,1,250,11
山梨,291,12727,51,2,234,6
⾧野,525,27127,149,0,375,6
岐阜,855,30444,108,0,734,13
静岡,978,50183,229,3,745,4
愛知,7902,119953,1189,15,6612,101
三重,645,17127,54,4,584,7
滋賀,696,14966,76,0,611,9
京都,2356,58824,191,3,2130,35
大阪,16036,280378,2036,72,13716,265
兵庫,4120,79834,459,17,3586,75
奈良,896,28985,154,3,731,11
和歌山,346,11643,52,4,284,4
鳥取,53,6156,12,0,41,0
島根,142,6354,1,0,141,0
岡山,430,14762,80,1,258,10
広島,710,30887,34,0,669,5
山口,285,13795,59,2,222,2
徳島,174,7682,7,2,159,9
香川,122,15450,17,0,103,2
愛媛,144,4819,27,0,111,6
高知,144,3693,0,0,140,4
福岡,5420,184084,112,3,5203,105
佐賀,284,8340,16,0,269,1
⾧崎,252,25087,6,0,243,3
熊本,939,22475,67,3,834,10
大分,189,23843,28,0,158,3
宮崎,385,8852,13,0,372,1
鹿児島,558,25132,45,0,512,13
沖縄,3833,65427,331,2,3440,67
(その他),149,-,0,-,149,-
合計,121580,2831997,13833,280,105701,1921
