都道府県名,陽性者数 検査人数,,%
北海道,5880,113037,5.2%
青森,280,6271,4.5%
,86,6865,1.3%
宮城,1027,16829,6.1%
秋田,74,3152,2.3%
山形,100,7078,1.4%
福島,453,36109,1.3%
茨城,1071,15243,7.0%
栃木,527,48922,1.1%
群馬,974,33422,2.9%
埼玉,7122,212609,3.3%
千葉,6003,148372,4.0%
東京,35722,686965,5.2%
神奈川,10575,229196,4.6%
新潟,273,20328,1.3%
富山,435,15674,2.8%
石川,830,20120,4.1%
福井,289,12776,2.3%
山梨,291,12727,2.3%
⾧野,525,27127,1.9%
岐阜,855,30444,2.8%
静岡,978,50183,1.9%
,7902,119953,6.6%
三重,645,17127,3.8%
滋賀,696,14966,4.7%
京都,2356,58824,4.0%
大阪,16036,280378,5.7%
,4120,79834,5.2%
奈良,896,28985,3.1%
和歌山,346,11643,3.0%
鳥取,53,6156,0.9%
島根,142,6354,2.2%
岡山,430,14762,2.9%
広島,710,30887,2.3%
山口,285,13795,2.1%
徳島,174,7682,2.3%
香川,122,15450,0.8%
愛媛,144,4819,3.0%
高知,144,3693,3.9%
,5420,184084,2.9%
佐賀,284,8340,3.4%
⾧崎,252,25087,1.0%
熊本,939,22475,4.2%
大分,189,23843,0.8%
宮崎,385,8852,4.3%
鹿児島,558,25132,2.2%
沖縄,3833,65427,5.9%
⾧崎船,149,0,-
合計,121580,2831997,4.3%
