都道府県名,陽性者数 検査人数,,%
北海道,1632,36655,4.5%
青森,33,1755,1.9%
岩手,9,2257,0.4%
宮城,185,7166,2.6%
秋田,44,1578,2.8%
山形,76,3007,2.5%
福島,109,12215,0.9%
茨城,463,9419,4.9%
栃木,282,18751,1.5%
群馬,307,10523,2.9%
埼玉,3280,92173,3.6%
千葉,2532,45960,5.5%
東京,18082,265644,6.8%
神奈川,3988,93284,4.3%
新潟,133,11029,1.2%
富山,319,6762,4.7%
石川,486,4189,11.6%
福井,155,5978,2.6%
山梨,142,8731,1.6%
長野,150,11135,1.3%
岐阜,520,15712,3.3%
静岡,425,19718,2.2%
愛知,3787,40609,9.3%
三重,285,7642,3.7%
滋賀,354,7340,4.8%
京都,1138,25126,4.5%
大阪,7101,108525,6.5%
兵庫,1924,36814,5.2%
奈良,440,11572,3.8%
和歌山,209,7467,2.8%
鳥取,21,4351,0.5%
島根,133,4257,3.1%
岡山,128,3847,3.3%
広島,437,16267,2.7%
山口,84,5119,1.6%
徳島,95,4049,2.3%
香川,65,6505,1.0%
愛媛,110,3454,3.2%
高知,103,2616,3.9%
福岡,3683,35498,10.4%
佐賀,199,4034,4.9%
長崎,189,11135,1.7%
熊本,417,9343,4.5%
大分,120,9554,1.3%
宮崎,273,7054,3.9%
鹿児島,335,13513,2.5%
沖縄,1689,18954,8.9%
長崎船,149,0,-
合計,56820,1088286,5.2%
