都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41136,765994,1952,23,38200,1373
青森,2463,49550,22,0,2410,31
岩手,1653,83277,58,2,1549,46
宮城,9091,154683,65,4,8934,88
秋田,792,14534,32,1,740,20
山形,2020,64466,22,2,1951,47
福島,4814,273777,111,4,4542,161
茨城,10353,33126,221,6,9970,162
栃木,6876,281917,183,10,6612,81
群馬,8013,190362,59,7,7802,152
埼玉,45904,951170,963,20,44112,829
千葉,39592,663722,977,19,37913,702
東京,170945,2472248,3778,43,164951,2216
神奈川,66154,1017998,1595,38,63618,941
新潟,3392,166430,50,3,3295,47
富山,2029,72252,69,2,1923,37
石川,3926,119333,52,0,3756,115
福井,1205,64495,136,0,1035,34
山梨,2036,50098,227,0,1788,21
長野,5007,199132,76,2,4915,91
岐阜,9414,265738,171,7,9058,185
静岡,9115,394559,292,4,8673,150
愛知,50649,811830,1399,36,48305,945
三重,5217,137890,84,3,5160,110
滋賀,5524,148371,135,6,5299,90
京都,16509,278482,184,13,16077,238
大阪,102830,2079794,1513,176,97864,2635
兵庫,40780,498598,313,27,39192,1278
奈良,8227,165640,159,7,7940,128
和歌山,2671,41556,17,3,2547,49
鳥取,466,81812,2,0,455,2
島根,551,29812,3,1,547,1
岡山,7584,158467,139,4,7302,126
広島,11440,534171,206,13,11034,170
山口,3119,119622,77,1,2966,76
徳島,1654,63852,13,0,1578,63
香川,2085,84420,25,1,2035,30
愛媛,2750,93822,15,3,2660,75
高知,1768,11104,92,6,1652,24
福岡,35342,816824,708,21,34082,516
佐賀,2553,55739,16,0,2548,24
長崎,3130,122239,71,0,2990,69
熊本,6464,81251,85,7,6266,113
大分,3489,165295,44,1,3383,62
宮崎,3072,43952,17,0,3018,27
鹿児島,3645,109989,71,0,3572,38
沖縄,20390,246279,1411,64,18810,175
(その他),149,-,0,-,149,-
合計,787988,15329672,17910,590,755178,14593
