都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,26681,559214,2625,24,22851,897
青森,1781,35344,284,4,1471,26
岩手,1091,61274,210,2,846,35
宮城,8339,124669,435,9,7810,72
秋田,596,11000,133,0,454,9
山形,1599,49728,119,6,1444,36
福島,3860,196966,581,18,3151,128
茨城,8567,30786,445,14,7987,135
栃木,5600,222303,291,5,5236,73
群馬,6705,144192,700,14,5899,106
埼玉,39856,785829,2649,45,36456,751
千葉,34402,559683,1372,17,32389,641
東京,146594,2078308,7372,73,137304,1918
神奈川,55739,828500,2009,48,52897,833
新潟,2568,115792,385,2,2158,25
富山,1408,53430,140,8,1237,31
石川,2866,74108,506,14,2273,85
福井,954,51711,101,1,820,33
山梨,1267,36365,120,1,1129,19
長野,4114,151970,321,5,3773,72
岐阜,6650,198698,781,10,5731,138
静岡,6823,303143,379,5,6320,124
愛知,36233,586218,3983,44,31602,648
三重,4146,104528,599,18,3564,89
滋賀,4163,110541,565,13,3531,67
京都,13292,222215,1654,31,11491,191
大阪,89545,1538348,21492,403,65475,1715
兵庫,34918,401077,5009,96,29139,770
奈良,6925,131588,946,29,5893,86
和歌山,2359,35763,244,44,2043,34
鳥取,392,64106,36,0,343,2
島根,375,21314,36,1,339,0
岡山,4987,108427,863,20,3492,49
広島,6751,267317,605,9,5835,111
山口,2063,82172,306,5,1709,48
徳島,1479,47260,236,11,1192,51
香川,1566,65286,370,4,1179,23
愛媛,2501,68018,251,8,2195,55
高知,1121,8545,77,4,1024,20
福岡,26833,638402,4071,48,21864,369
佐賀,1952,41544,297,3,1588,14
長崎,2479,96913,479,6,1959,44
熊本,4414,67745,488,13,3844,82
大分,2391,119230,641,3,1722,28
宮崎,2463,33156,331,3,2101,23
鹿児島,2558,81722,405,2,2107,28
沖縄,13095,195912,1096,9,11867,138
(その他),149,-,0,-,149,-
合計,637210,11810360,67038,1152,556883,10872
