都道府県名,陽性者数 検査人数,,%
北海道,1289,23073,5.6%
⻘森,29,1065,2.7%
岩手,0,1099,0.0%
宮城,100,4446,2.2%
秋田,16,1012,1.6%
山形,71,2626,2.7%
福島,83,7774,1.1%
茨城,196,5714,3.4%
栃木,93,9109,1.0%
群馬,155,5734,2.7%
埼玉,1431,42988,3.3%
千葉,1088,20335,5.4%
東京,7721,113458,6.8%
神奈川,1720,14021,12.3%
新潟,87,5285,1.6%
富山,230,4225,5.4%
石川,300,2958,10.1%
福井,122,3673,3.3%
山梨,76,6139,1.2%
⻑野,77,3472,2.2%
岐阜,162,5808,2.8%
静岡,92,8602,1.1%
愛知,528,13977,3.8%
三重,47,3051,1.5%
滋賀,104,2735,3.8%
京都,420,11599,3.6%
大阪,1967,46112,4.3%
兵庫,726,16730,4.3%
奈良,114,4383,2.6%
和歌山,75,4413,1.7%
鳥取,4,1935,0.2%
島根,24,1284,1.9%
岡山,28,2031,1.4%
広島,176,8178,2.2%
山口,37,2659,1.4%
徳島,10,1144,0.9%
香川,29,2975,1.0%
愛媛,82,2663,3.1%
高知,74,2015,3.7%
福岡,908,17868,5.1%
佐賀,47,1697,2.8%
⻑崎,19,3806,0.5%
熊本,49,4421,1.1%
大分,60,5325,1.1%
宮崎,18,1674,1.1%
鹿児島,132,6512,2.0%
沖縄,148,3097,4.8%
⻑崎船,149,-,-
合計,21113,464900,4.5%
