都道府県名,PCR検査陽性者,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1289,23073,62,5,1126,101
⻘森,29,1065,2,0,26,1
岩手,0,1099,0,0,0,0
宮城,100,4446,7,0,92,1
秋田,16,1012,0,0,16,0
山形,71,2626,3,0,68,1
福島,83,7774,1,0,82,0
茨城,196,5714,19,1,167,10
栃木,93,9109,11,0,82,0
群馬,155,5734,3,0,133,19
埼玉,1431,42988,281,3,1083,67
千葉,1088,20335,128,0,914,46
東京,7721,113458,1227,5,6169,325
神奈川,1720,14021,158,8,1464,97
新潟,87,5285,3,0,83,0
富山,230,4225,3,0,205,22
石川,300,2958,6,1,267,27
福井,122,3673,0,0,114,8
⼭梨,76,6139,1,0,74,1
⻑野,77,3472,1,0,76,-
岐阜,162,5808,7,2,148,7
静岡,92,8602,9,0,82,1
愛知,528,13977,7,0,482,34
三重,47,3051,0,0,45,1
滋賀,104,2735,3,0,100,1
京都,420,11599,40,0,362,18
大阪,1967,46112,104,3,1777,86
兵庫,726,16730,19,0,662,45
奈良,114,4383,22,0,90,2
和歌山,75,4413,11,0,61,3
鳥取,4,1935,1,0,3,0
島根,24,1284,0,0,24,0
岡山,28,2031,2,-,26,-
広島,176,8178,8,0,166,3
山口,37,2659,0,0,37,0
徳島,10,1144,4,0,4,1
香川,29,2975,1,0,28,0
愛媛,82,2663,0,0,77,5
高知,74,2015,0,0,71,3
福岡,908,17868,58,4,817,33
佐賀,47,1697,0,0,47,0
⻑崎,19,3806,2,0,16,1
熊本,49,4421,0,0,46,3
大分,60,5325,0,0,59,1
宮崎,18,1674,1,0,17,0
⿅児島,132,6512,121,0,11,0
沖縄,148,3097,3,0,139,7
(その他),149,-,0,-,149,-
合計,21113,464900,2339,32,17787,981
