都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41708,799145,522,11,39745,1412
青森,2538,52324,45,0,2462,31
岩手,1766,88554,90,1,1629,47
宮城,9272,160611,139,1,9029,91
秋田,931,16159,51,2,860,20
山形,2044,67378,27,1,1970,47
福島,5049,289317,176,4,4712,161
茨城,10765,33871,243,6,10356,166
栃木,7209,311224,193,9,6934,82
群馬,8071,199003,38,3,7879,154
埼玉,47618,995632,1424,22,45359,835
千葉,41658,713703,1278,15,39665,715
東京,180074,2598858,5885,62,171941,2248
神奈川,69617,1072099,2020,38,66637,960
新潟,3463,177258,73,0,3337,53
富山,2057,76215,23,1,1996,38
石川,4008,126060,79,1,3810,115
福井,1351,71234,93,1,1223,35
山梨,2144,62325,51,0,2072,21
長野,5057,212206,36,0,5004,93
岐阜,9484,277521,53,5,9244,187
静岡,9546,418670,319,5,9075,152
愛知,51429,854147,600,13,49850,979
三重,5321,148938,81,3,5266,113
滋賀,5607,157405,71,3,5446,90
京都,16762,290365,143,4,16339,246
大阪,104482,2230599,1338,122,99653,2692
兵庫,41162,519903,287,13,39566,1309
奈良,8434,174026,134,6,8168,132
和歌山,2703,42435,19,1,2577,49
鳥取,494,85930,27,0,458,2
島根,560,32023,6,0,552,2
岡山,7609,168599,22,1,7455,126
広島,11560,561085,74,8,11297,176
山口,3171,124469,40,1,3051,80
徳島,1660,66353,5,0,1592,63
香川,2112,88141,19,1,2067,31
愛媛,2755,98707,4,2,2676,75
高知,1880,11759,64,4,1789,27
福岡,35841,852646,365,9,34893,525
佐賀,2570,58547,21,0,2563,24
長崎,3225,128350,57,0,3100,69
熊本,6495,82372,27,1,6349,119
大分,3504,173595,19,0,3421,64
宮崎,3107,44740,22,0,3048,27
鹿児島,3727,113372,52,1,3664,39
沖縄,21255,258148,660,47,20395,206
(その他),149,-,0,-,149,-
合計,813004,16186021,17015,428,780323,14928
