都道府県名,陽性者数,検査人数,%
北海道,928,7827,11.9%
青森,26,714,3.6%
岩手,0,387,0.0%
宮城,88,2166,4.1%
秋田,16,880,1.8%
山形,69,2382,2.9%
福島,79,2150,3.7%
茨城,168,5281,3.2%
栃木,54,2287,2.4%
群馬,147,2911,5.0%
埼玉,922,9456,9.8%
千葉,842,7308,10.9%
東京,4777,12950,36.9%
神奈川,1145,6913,15.6%
新潟,78,3238,2.4%
富山,220,2392,9.2%
石川,275,2175,12.6%
福井,122,1964,6.2%
山梨,56,2738,2.0%
長野,73,2027,3.6%
岐阜,150,2498,6.0%
静岡,73,2792,2.6%
愛知,498,7866,6.3%
三重,45,2084,2.2%
滋賀,98,1378,7.1%
京都,347,5138,6.8%
大阪,1713,14939,10.6%
兵庫,679,8516,8.0%
奈良,89,1907,4.7%
和歌山,62,3283,1.9%
鳥取,3,1142,0.3%
島根,24,888,2.7%
岡山,23,1303,1.8%
広島,162,5588,2.9%
山口,37,1455,2.5%
徳島,5,518,1.0%
香川,28,1753,1.6%
愛媛,48,1225,3.9%
高知,74,1528,4.8%
福岡,652,10020,6.5%
佐賀,45,1143,3.9%
長崎,17,2215,0.8%
熊本,47,3313,1.4%
大分,60,3349,1.8%
宮崎,17,1192,1.4%
鹿児島,10,1378,0.7%
沖縄,142,2366,6.0%
長崎船,149,623,23.9%
合計,15382,169546,8.9%
