都道府県名,陽性者数,検査人数,%
北海道,473,4554,10.4%
青森,22,487,4.5%
岩手,0,242,0.0%
宮城,84,1387,6.1%
秋田,16,753,2.1%
山形,64,1657,3.9%
福島,64,1230,5.2%
茨城,146,3571,4.1%
栃木,51,1537,3.3%
群馬,131,2163,6.1%
埼玉,681,5119,13.3%
千葉,704,4061,16.2%
東京,3320,8435,39.4%
神奈川,816,4745,15.7%
新潟,58,2217,2.6%
富山,115,1515,7.6%
石川,190,1181,16.1%
福井,118,1099,10.7%
山梨,50,1703,2.9%
長野,54,1417,3.8%
岐阜,140,2143,6.5%
静岡,53,2221,2.4%
愛知,422,5535,7.6%
三重,41,1436,2.9%
滋賀,76,937,8.1%
京都,264,2883,9.2%
大阪,1351,5368,22.8%
兵庫,546,5714,9.6%
奈良,73,1020,7.2%
和歌山,47,2381,2.0%
鳥取,3,794,0.4%
島根,16,697,2.3%
岡山,19,992,1.9%
広島,138,3583,3.9%
山口,31,1130,2.7%
徳島,5,341,1.5%
香川,26,1273,2.0%
愛媛,47,893,5.3%
高知,69,1181,5.8%
福岡,539,7311,7.4%
佐賀,17,602,2.8%
長崎,17,1551,1.1%
熊本,41,2465,1.7%
大分,60,2691,2.2%
宮崎,17,943,1.8%
鹿児島,10,852,1.2%
沖縄,125,1420,8.8%
合計,11350,107430,10.3%
