都道府県名,陽性者数,検査人数,%
北海道,823,7054,11.7%
青森,26,643,4.0%
岩手,0,350,0.0%
宮城,88,1910,4.6%
秋田,16,852,1.9%
山形,68,2246,3.0%
福島,75,1844,4.1%
茨城,165,4835,3.4%
栃木,54,2015,2.7%
群馬,146,1654,8.8%
埼玉,878,8778,10.0%
千葉,823,6374,12.2%
東京,4491,11691,38.4%
神奈川,1060,6002,16.5%
新潟,77,3044,2.5%
富山,209,2392,8.7%
石川,260,1977,13.2%
福井,122,1771,6.9%
山梨,55,2358,2.3%
長野,69,1818,3.8%
岐阜,150,2404,6.2%
静岡,73,2780,2.6%
愛知,491,7403,6.6%
三重,45,1938,2.3%
滋賀,96,1314,7.3%
京都,328,4343,7.6%
大阪,1658,12492,12.3%
兵庫,654,7891,8.3%
奈良,86,1605,5.4%
和歌山,62,3077,2.0%
鳥取,3,1092,0.3%
島根,23,830,2.8%
岡山,23,1131,2.0%
広島,161,5037,3.2%
山口,34,1290,2.6%
徳島,5,469,1.1%
香川,28,1643,1.7%
愛媛,47,1116,4.2%
高知,74,1461,5.1%
福岡,648,9400,6.9%
佐賀,42,1077,3.9%
長崎,17,2050,0.8%
熊本,47,3178,1.5%
大分,60,3175,1.9%
宮崎,17,1122,1.5%
鹿児島,10,1287,0.8%
沖縄,142,2211,6.4%
長崎船,148,623,23.8%
合計,14677,153047,9.4%
