都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,20816,441400,751,14,19286,743
青森,944,24324,64,1,860,20
岩手,608,42993,35,0,543,30
宮城,5529,86294,1277,3,4223,29
秋田,283,7420,9,0,268,6
山形,865,32888,273,0,576,16
福島,2415,141389,280,11,2025,110
茨城,6651,26008,343,1,6182,126
栃木,4545,170240,160,2,4315,70
群馬,4943,110174,167,2,4677,99
埼玉,32467,635583,1348,37,30420,699
千葉,29337,470557,1097,23,27680,560
東京,119974,1733095,3256,41,114993,1725
神奈川,47745,680128,899,24,46069,777
新潟,1392,79987,188,1,1187,17
富山,934,40917,22,1,884,28
石川,1901,59370,12,0,1823,64
福井,570,35047,22,0,523,25
山梨,956,30877,1,0,937,18
長野,2711,112377,198,0,2483,41
岐阜,4921,156233,123,3,4675,123
静岡,5642,237667,241,2,5286,115
愛知,27083,451860,589,9,25919,575
三重,2708,76136,103,3,2615,70
滋賀,2734,85844,82,4,2598,54
京都,9337,172896,147,2,9027,168
大阪,50957,1020364,2323,71,47050,1176
兵庫,19510,290520,917,60,18009,584
奈良,3660,93746,193,4,3414,53
和歌山,1248,26281,63,1,1143,18
鳥取,211,46270,1,0,205,2
島根,286,17590,1,0,285,0
岡山,2645,78444,76,4,2524,35
広島,5114,178091,44,0,4957,106
山口,1406,66920,15,0,1348,43
徳島,517,31485,56,2,443,18
香川,789,50214,24,1,750,18
愛媛,1278,38370,205,0,1049,24
高知,914,7434,9,3,886,19
福岡,18919,502328,394,7,18194,331
佐賀,1181,31452,42,1,1147,12
長崎,1627,76151,14,0,1577,38
熊本,3495,57975,21,1,3405,74
大分,1305,91000,6,0,1277,22
宮崎,1954,24807,1,0,1924,22
鹿児島,1812,72126,37,0,1763,28
沖縄,9242,161688,609,3,8512,127
(その他),149,-,0,-,149,-
合計,466230,9104960,16738,342,440085,9058
