都道府県名,陽性者数 検査人数,,%
北海道,20816,441400,4.7%
青森,944,24324,3.9%
岩手,608,42993,1.4%
宮城,5529,86294,6.4%
秋田,283,7420,3.8%
山形,865,32888,2.6%
福島,2415,141389,1.7%
茨城,6651,26008,25.6%
栃木,4545,170240,2.7%
群馬,4943,110174,4.5%
埼玉,32467,635583,5.1%
千葉,29337,470557,6.2%
東京,119974,1733095,6.9%
神奈川,47745,680128,7.0%
新潟,1392,79987,1.7%
富山,934,40917,2.3%
石川,1901,59370,3.2%
福井,570,35047,1.6%
山梨,956,30877,3.1%
長野,2711,112377,2.4%
岐阜,4921,156233,3.1%
静岡,5642,237667,2.4%
愛知,27083,451860,6.0%
三重,2708,76136,3.6%
滋賀,2734,85844,3.2%
京都,9337,172896,5.4%
大阪,50957,1020364,5.0%
兵庫,19510,290520,6.7%
奈良,3660,93746,3.9%
和歌山,1248,26281,4.7%
鳥取,211,46270,0.5%
島根,286,17590,1.6%
岡山,2645,78444,3.4%
広島,5114,178091,2.9%
山口,1406,66920,2.1%
徳島,517,31485,1.6%
香川,789,50214,1.6%
愛媛,1278,38370,3.3%
高知,914,7434,12.3%
福岡,18919,502328,3.8%
佐賀,1181,31452,3.8%
長崎,1627,76151,2.1%
熊本,3495,57975,6.0%
大分,1305,91000,1.4%
宮崎,1954,24807,7.9%
鹿児島,1812,72126,2.5%
沖縄,9242,161688,5.7%
長崎船,149,0,-
合計,466230,9104960,5.1%
