都道府県名,PCR検査陽性者,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1277,22118,83,6,1093,101
⻘森,27,1015,0,0,26,1
岩手,0,1009,0,0,0,0
宮城,98,4018,7,0,90,1
秋田,16,1001,0,0,16,0
山形,71,2583,4,1,68,0
福島,82,7275,1,0,81,0
茨城,186,5531,16,0,160,10
栃木,87,8065,21,0,67,0
群馬,155,5299,3,0,133,19
埼玉,1255,38502,182,3,1007,66
千葉,1019,19276,79,1,895,45
東京,6867,94857,836,8,5706,325
神奈川,1596,13257,136,10,1364,96
新潟,85,5098,1,0,83,0
富山,228,4090,1,0,205,22
石川,300,2934,12,1,261,27
福井,122,3528,0,0,114,8
⼭梨,75,5966,1,0,73,1
⻑野,77,3380,1,0,76,-
岐阜,160,5425,6,1,147,7
静岡,86,8040,4,0,81,1
愛知,525,13413,5,0,480,34
三重,46,2955,0,0,45,1
滋賀,103,2527,3,0,99,1
京都,401,11061,35,0,348,18
大阪,1893,43319,77,3,1730,86
兵庫,712,15593,11,0,656,45
奈良,96,3943,4,0,90,2
和歌山,64,4070,0,0,61,3
鳥取,4,1816,1,0,3,0
島根,24,1260,0,0,24,0
岡山,28,1988,2,-,26,-
広島,169,7972,2,0,166,3
山口,37,2485,0,0,37,0
徳島,6,960,1,0,4,1
香川,28,2822,0,0,28,0
愛媛,82,2638,0,0,77,5
高知,74,1998,0,0,71,3
福岡,877,16998,37,2,807,33
佐賀,47,1668,0,0,47,0
⻑崎,18,3367,1,0,16,1
熊本,49,4366,0,0,46,3
大分,60,5080,0,0,59,1
宮崎,18,1609,1,0,17,0
⿅児島,107,3726,96,0,11,0
沖縄,142,3047,0,0,139,7
(その他),149,-,1,-,148,-
合計,19628,422948,1671,36,16981,977
