都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,17445,319815,1344,12,15479,602
青森,717,13197,58,2,646,13
岩手,496,20046,20,2,449,27
宮城,3397,48365,315,7,3060,22
秋田,261,6370,48,0,212,1
山形,503,14118,56,2,434,13
福島,1727,85030,243,11,1440,44
茨城,4818,23081,750,16,4006,62
栃木,3771,105819,510,17,3215,46
群馬,3867,74179,356,12,3442,69
埼玉,25191,450466,4288,82,20553,350
千葉,22316,326936,5803,48,16263,250
東京,99841,1309999,13257,140,85698,886
神奈川,40764,491045,3161,109,37136,467
新潟,910,36925,133,2,768,9
富山,870,30685,48,2,795,27
石川,1462,40540,94,3,1323,58
福井,514,26913,67,4,428,19
山梨,898,14741,45,4,840,13
長野,2288,80987,200,1,2079,36
岐阜,4216,104556,459,14,3688,69
静岡,4585,142180,655,8,3854,76
愛知,23901,309425,2491,58,21014,396
三重,2188,46585,374,9,1785,29
滋賀,2123,55762,294,9,1799,30
京都,8200,127431,1368,16,6792,112
大阪,43722,650540,4927,185,37869,926
兵庫,16357,201882,1935,65,14023,399
奈良,3034,67562,308,7,2688,38
和歌山,1063,21551,95,14,934,14
鳥取,198,33712,29,0,164,2
島根,268,12166,27,0,241,0
岡山,2338,51686,252,10,2013,20
広島,4801,120841,321,12,4358,92
山口,1235,45815,325,0,889,21
徳島,385,21821,61,2,310,14
香川,645,37516,153,1,477,15
愛媛,993,25562,123,3,852,18
高知,847,6897,35,4,798,14
福岡,16176,369295,2466,37,13523,187
佐賀,951,23806,120,3,838,4
長崎,1474,56979,247,2,1199,27
熊本,3339,51512,226,19,2910,61
大分,1158,63256,181,3,960,17
宮崎,1808,22673,184,7,1571,17
鹿児島,1598,54720,204,2,1394,18
沖縄,7550,125312,774,9,6691,90
(その他),149,-,0,-,149,-
合計,387358,6370300,49430,975,332049,5720
