都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1386,26866,92,4,1191,103
青 森,31,1317,4,0,26,1
岩手,0,1290,0,0,0,0
宮城,140,5557,12,0,127,1
秋  田,18,1054,1,0,16,0
山形,75,2856,2,0,73,1
福島,86,9081,3,0,83,0
茨城,242,6442,26,1,206,10
栃木,159,12070,46,0,99,0
群馬,179,7371,21,2,139,19
埼玉,2068,56624,435,3,1561,72
千葉,1475,26147,320,6,1109,46
東京,11214,156867,2762,18,8124,328
神奈川,2239,16219,303,7,1838,98
新潟,92,5858,6,0,85,0
富山,235,4874,4,0,209,22
石川,313,3149,16,1,270,27
福井,129,4583,4,0,117,8
山梨,85,6805,8,0,76,1
長野,92,5737,13,0,79,-
岐阜,231,8749,63,0,161,7
静岡,119,10472,29,0,89,1
愛知,1010,16828,469,2,506,35
三重,65,3633,13,0,50,1
滋賀,153,3968,46,2,106,1
京都,586,14909,146,1,422,18
大阪,2915,60635,748,12,2080,87
兵庫,965,23180,124,1,796,45
奈良,205,7978,69,1,134,2
和歌山,122,5662,31,1,87,3
鳥取,6,2286,2,0,4,0
島根,28,2253,1,0,25,0
岡山,61,2618,28,-,32,-
広島,257,10572,60,0,194,3
山口,49,3563,10,0,39,0
徳島,12,1524,5,0,6,1
香川,45,4243,12,0,33,0
愛媛,85,2820,3,0,77,5
高知,79,2184,4,0,72,3
福岡,1342,21520,400,4,909,33
佐賀,67,2140,20,0,47,0
長崎,52,5764,28,-,22,2
熊本,72,4607,22,0,47,3
大分,60,6023,0,0,59,1
宮崎,62,1868,42,0,20,0
鹿児島,211,9513,82,0,129,0
沖縄,186,6226,38,1,145,7
(その他),149,-,0,-,149,-
合計,29452,606505,6573,67,21868,995
