都道府県名,陽性者数 検査人数,,%
北海道,11171,190249,5.9%
青森,373,8036,4.6%
岩手,302,11092,2.7%
宮城,1507,21568,7.0%
秋田,94,3746,2.5%
山形,253,9068,2.8%
福島,611,45348,1.3%
茨城,1987,17774,11.2%
栃木,870,61800,1.4%
群馬,1652,42655,3.9%
埼玉,10441,261972,4.0%
千葉,8189,190632,4.3%
東京,47225,847224,5.6%
神奈川,15053,281819,5.3%
新潟,400,24496,1.6%
富山,474,18804,2.5%
石川,910,24951,3.6%
福井,332,16638,2.0%
山梨,440,14073,3.1%
長野,957,35844,2.7%
岐阜,1498,50550,3.0%
静岡,2087,67934,3.1%
愛知,12525,152984,8.2%
三重,1055,24205,4.4%
滋賀,863,30933,2.8%
京都,3076,73836,4.2%
大阪,24929,379572,6.6%
兵庫,7228,113005,6.4%
奈良,1493,38382,3.9%
和歌山,554,14965,3.7%
鳥取,67,19495,0.3%
島根,166,7659,2.2%
岡山,702,24136,2.9%
広島,1560,43500,3.6%
山口,435,22347,1.9%
徳島,187,13844,1.4%
香川,199,19511,1.0%
愛媛,359,9723,3.7%
高知,357,4671,7.6%
福岡,6622,224401,3.0%
佐賀,380,11860,3.2%
長崎,290,29884,1.0%
熊本,1210,27774,4.4%
大分,516,33841,1.5%
宮崎,584,10923,5.3%
鹿児島,823,30031,2.7%
沖縄,4805,79687,6.0%
長崎船,149,0,-
合計,177960,3687442,4.8%
