都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,11171,190249,2226,32,8637,308
青森,373,8036,59,2,308,6
岩手,302,11092,113,3,180,9
宮城,1507,21568,277,3,1218,12
秋田,94,3746,4,0,89,1
山形,253,9068,103,1,149,1
福島,611,45348,103,4,500,8
茨城,1987,17774,289,13,1670,28
栃木,870,61800,233,11,637,2
群馬,1652,42655,313,8,1273,26
埼玉,10441,261972,1779,35,8492,170
千葉,8189,190632,991,15,7100,97
東京,47225,847224,5135,70,41555,535
神奈川,15053,281819,1536,53,13292,225
新潟,400,24496,83,0,317,0
富山,474,18804,16,1,432,26
石川,910,24951,51,0,812,50
福井,332,16638,15,2,306,11
山梨,440,14073,83,0,348,9
長野,957,35844,155,4,750,6
岐阜,1498,50550,345,4,1133,20
静岡,2087,67934,639,16,1428,20
愛知,12525,152984,2131,27,10251,143
三重,1055,24205,190,5,853,12
滋賀,863,30933,67,1,785,11
京都,3076,73836,406,8,2644,40
大阪,24929,379572,4684,158,19822,407
兵庫,7228,113005,809,44,6308,111
奈良,1493,38382,259,7,1219,15
和歌山,554,14965,64,10,472,7
鳥取,67,19495,9,0,57,0
島根,166,7659,14,1,152,0
岡山,702,24136,116,3,562,11
広島,1560,43500,283,10,950,8
山口,435,22347,47,3,382,2
徳島,187,13844,6,0,174,9
香川,199,19511,47,0,149,3
愛媛,359,9723,57,2,293,8
高知,357,4671,153,1,200,4
福岡,6622,224401,649,12,5863,110
佐賀,380,11860,52,0,327,3
長崎,290,29884,32,0,265,3
熊本,1210,27774,116,8,1030,13
大分,516,33841,158,2,355,3
宮崎,584,10923,87,1,497,3
鹿児島,823,30031,183,1,640,13
沖縄,4805,79687,369,7,4366,75
(その他),149,-,0,-,149,-
合計,177960,3687442,25536,588,149391,2584
