都道府県名,陽性者数 検査人数,,%
北海道,41244,772249,5.3%
青森,2477,49888,5.0%
岩手,1667,83925,2.0%
宮城,9108,155771,5.8%
秋田,835,14558,5.7%
山形,2020,64565,3.1%
福島,4851,276508,1.8%
茨城,10477,33152,31.6%
栃木,6959,284049,2.4%
群馬,8026,190917,4.2%
埼玉,46185,956801,4.8%
千葉,39934,671879,5.9%
東京,172427,2488038,6.9%
神奈川,66810,1022092,6.5%
新潟,3397,168441,2.0%
富山,2037,72570,2.8%
石川,3928,121358,3.2%
福井,1251,66813,1.9%
山梨,2059,54750,3.8%
長野,5027,199773,2.5%
岐阜,9431,267471,3.5%
静岡,9237,396428,2.3%
愛知,50861,814830,6.2%
三重,5246,142045,3.7%
滋賀,5541,149744,3.7%
京都,16553,280856,5.9%
大阪,103134,2122788,4.9%
兵庫,40850,503007,8.1%
奈良,8281,166297,5.0%
和歌山,2673,41647,6.4%
鳥取,466,82415,0.6%
島根,552,29812,1.9%
岡山,7588,162012,4.7%
広島,11475,546309,2.1%
山口,3132,119622,2.6%
徳島,1655,64295,2.6%
香川,2093,85130,2.5%
愛媛,2752,95444,2.9%
高知,1797,11202,16.0%
福岡,35439,823415,4.3%
佐賀,2554,56306,4.5%
長崎,3163,123242,2.6%
熊本,6464,81830,7.9%
大分,3491,166572,2.1%
宮崎,3076,44111,7.0%
鹿児島,3662,110479,3.3%
沖縄,20607,248208,8.3%
長崎船,149,0,-
合計,792641,15483614,5.1%
