都道府県名,PCR検査陽性者,PCR検査実施人数,⼊院治療等を要する者(人),,退院⼜は療養解除となった者の数(人),死亡(累積)(人)
北海道,1275,21408,97,5,1077,101
⻘森,27,1002,0,0,26,1
岩手,0,1005,0,0,0,0
宮城,95,3925,4,0,90,1
秋田,16,999,0,0,16,0
山形,69,2562,1,1,68,0
福島,82,7105,1,0,81,0
茨城,182,5417,12,0,160,10
栃木,84,7707,18,0,66,0
群馬,154,5246,4,0,131,19
埼玉,1191,37440,150,3,976,65
千葉,987,18715,54,1,888,45
東京,6523,89886,616,9,5582,325
神奈川,1545,12898,107,7,1342,96
新潟,84,5054,0,0,83,0
富山,228,4009,1,0,205,22
石川,300,2922,16,1,257,27
福井,122,3481,0,0,114,8
⼭梨,75,5815,2,0,72,1
⻑野,77,3334,1,0,76,-
岐阜,160,5348,6,1,147,7
静岡,86,7829,6,0,79,1
愛知,525,13199,7,0,478,34
三重,46,2920,0,0,45,1
滋賀,103,2471,3,0,99,1
京都,386,10600,21,0,347,18
大阪,1851,41726,51,2,1714,86
兵庫,709,15205,8,0,656,45
奈良,92,3943,0,0,90,2
和歌山,64,4042,0,0,61,3
鳥取,4,1504,1,0,3,0
島根,24,1254,0,0,24,0
岡山,28,1964,2,-,26,-
広島,169,7907,1,0,165,3
山口,37,2425,0,0,37,0
徳島,6,943,1,0,4,1
香川,28,2776,0,0,28,0
愛媛,82,2629,0,0,77,5
高知,74,1985,0,0,71,3
福岡,858,16777,22,2,803,33
佐賀,47,1659,0,0,47,0
⻑崎,17,3324,0,0,16,1
熊本,49,4310,0,0,46,3
大分,60,5018,0,0,59,1
宮崎,17,1589,0,0,17,0
⿅児島,21,2654,10,0,11,0
沖縄,142,3037,0,0,139,7
(その他),149,-,1,-,148,-
合計,18950,408968,1224,32,16747,976
