都道府県名,陽性者数,検査人数,%
北海道,650,6149,10.6%
青森,23,580,4.0%
岩手,0,302,0.0%
宮城,86,1714,5.0%
秋田,16,818,2.0%
山形,66,2052,3.2%
福島,69,1634,4.2%
茨城,161,4273,3.8%
栃木,54,1826,3.0%
群馬,146,2589,5.6%
埼玉,823,6368,12.9%
千葉,793,5512,13.6%
東京,3961,10702,37.0%
神奈川,965,5439,16.5%
新潟,69,2578,2.7%
富山,181,2102,8.6%
石川,236,1703,13.9%
福井,121,1462,8.3%
山梨,51,2072,2.5%
長野,66,1680,3.9%
岐阜,146,2763,5.3%
静岡,64,2547,2.5%
愛知,477,6890,6.9%
三重,45,1799,2.5%
滋賀,94,1209,7.8%
京都,309,3894,7.9%
大阪,1523,7380,18.9%
兵庫,629,6922,9.1%
奈良,78,1329,5.9%
和歌山,59,2837,2.1%
鳥取,3,982,0.3%
島根,22,790,2.8%
岡山,22,1129,1.9%
広島,145,4556,3.2%
山口,32,1225,2.6%
徳島,5,423,1.2%
香川,28,1512,1.9%
愛媛,47,1024,4.6%
高知,73,1362,5.4%
福岡,615,8611,7.1%
佐賀,36,912,3.9%
長崎,16,1851,0.9%
熊本,45,2912,1.5%
大分,60,3039,2.0%
宮崎,17,1053,1.6%
鹿児島,10,1176,0.9%
沖縄,137,1896,7.2%
長崎船,148,,
合計,13422,133578,9.9%
