都道府県名,陽性者数 検査人数,,%
北海道,1290,23261,5.5%
青森,29,1065,2.7%
岩手,0,1099,0.0%
宮城,104,4544,2.3%
秋田,16,1012,1.6%
山形,71,2639,2.7%
福島,83,7798,1.1%
茨城,199,5714,3.5%
栃木,93,9229,1.0%
群馬,155,5748,2.7%
埼玉,1462,43157,3.4%
千葉,1119,20693,5.4%
東京,7927,113458,7.0%
神奈川,1743,14021,12.4%
新潟,87,5290,1.6%
富山,230,4225,5.4%
石川,300,2959,10.1%
福井,123,3683,3.3%
山梨,76,6139,1.2%
長野,78,3485,2.2%
岐阜,162,5825,2.8%
静岡,94,8602,1.1%
愛知,528,13977,3.8%
三重,48,3075,1.6%
滋賀,106,2737,3.9%
京都,420,11599,3.6%
大阪,1967,46112,4.3%
兵庫,731,16817,4.3%
奈良,119,4383,2.7%
和歌山,80,4515,1.8%
鳥取,5,1950,0.3%
島根,24,1285,1.9%
岡山,28,2038,1.4%
広島,178,8178,2.2%
山口,37,2662,1.4%
徳島,10,1183,0.8%
香川,29,2975,1.0%
愛媛,82,2663,3.1%
高知,74,2025,3.7%
福岡,917,17868,5.1%
佐賀,47,1700,2.8%
長崎,19,3878,0.5%
熊本,49,4421,1.1%
大分,60,5331,1.1%
宮崎,18,1674,1.1%
鹿児島,145,6949,2.1%
沖縄,148,3097,4.8%
長崎船,149,-,-
合計,21459,466738,4.6%
