都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,13617,241691,1666,19,11466,460
青森,496,9968,94,2,394,8
岩手,389,14448,63,3,302,24
宮城,2225,24865,449,3,1760,16
秋田,143,4565,39,0,103,1
山形,391,10180,79,6,303,9
福島,969,58370,245,5,703,21
茨城,2508,18572,303,7,2167,38
栃木,1590,73334,529,9,1061,6
群馬,2381,52671,341,10,1995,45
埼玉,14732,321576,3164,59,11357,211
千葉,11458,226829,2398,15,8939,121
東京,61774,996675,9848,94,51295,631
神奈川,22115,342311,3578,71,18257,280
新潟,555,28256,116,0,438,3
富山,563,21742,54,2,483,26
石川,1097,30053,132,7,924,51
福井,359,19436,19,0,327,12
山梨,568,14525,75,3,482,11
⾧野,1217,48235,164,3,1049,16
岐阜,2384,65843,537,13,1810,37
静岡,2758,88334,502,7,2215,41
愛知,16747,199918,2555,39,13976,216
三重,1311,30675,161,6,1132,18
滋賀,1222,38009,247,4,963,12
京都,4803,95241,962,14,3829,53
大阪,30519,471150,3744,165,26181,594
兵庫,10132,141681,1235,49,8677,220
奈良,2077,47698,379,12,1674,24
和歌山,640,16572,52,4,570,7
鳥取,120,24205,51,1,67,0
島根,213,9344,31,2,182,0
岡山,1413,31723,384,8,762,13
広島,3381,75233,656,18,2290,36
山口,592,26760,115,3,470,3
徳島,199,15372,7,0,183,9
香川,308,24430,90,0,215,3
愛媛,477,13721,95,3,369,13
高知,676,5977,95,7,573,8
福岡,8774,263231,1573,16,7272,119
佐賀,474,15041,53,1,424,3
⾧崎,703,39921,226,2,311,4
熊本,1903,36364,196,9,1495,18
大分,711,43414,126,4,579,6
宮崎,759,12454,91,0,668,5
鹿児島,1016,39751,136,2,880,14
沖縄,5424,90273,376,7,4972,81
(その他),149,-,0,-,149,-
合計,239032,4520637,38031,714,196693,3547
