都道府県名,陽性者数 検査人数,,%
北海道,1396,27210,5.1%
青森,31,1393,2.2%
岩手,0,1381,0.0%
宮城,147,5617,2.6%
秋田,18,1089,1.7%
山形,75,2869,2.6%
福島,86,9312,0.9%
茨城,254,6767,3.8%
栃木,167,12568,1.3%
群馬,182,7722,2.4%
埼玉,2146,62409,3.4%
千葉,1522,26690,5.7%
東京,11611,170610,6.8%
神奈川,2286,17322,13.2%
新潟,97,6120,1.6%
富山,236,5077,4.6%
石川,314,3196,9.8%
福井,129,4674,2.8%
山梨,88,7040,1.3%
長野,98,6331,1.5%
岐阜,265,9382,2.8%
静岡,200,10472,1.9%
愛知,1172,20356,5.8%
三重,74,3831,1.9%
滋賀,157,4081,3.8%
京都,677,16612,4.1%
大阪,3430,66171,5.2%
兵庫,1026,24011,4.3%
奈良,215,7978,2.7%
和歌山,134,5819,2.3%
鳥取,7,2396,0.3%
島根,29,2710,1.1%
岡山,66,2708,2.4%
広島,269,10937,2.5%
山口,51,3736,1.4%
徳島,16,1579,1.0%
香川,45,4484,1.0%
愛媛,89,2889,3.1%
高知,80,2202,3.6%
福岡,1481,22426,6.6%
佐賀,69,2185,3.2%
長崎,59,6089,1.0%
熊本,114,4607,2.5%
大分,62,6312,1.0%
宮崎,85,2970,2.9%
鹿児島,219,9768,2.2%
沖縄,210,6665,3.2%
長崎船,149,-,-
合計,31333,648773,4.8%
