都道府県名,陽性者数 検査人数,,%
北海道,2410,66373,3.6%
青森,41,2720,1.5%
,25,4715,0.5%
宮城,499,11735,4.3%
秋田,59,2349,2.5%
山形,81,5319,1.5%
福島,324,23712,1.4%
茨城,715,13091,5.5%
栃木,452,33701,1.3%
群馬,763,25758,3.0%
埼玉,5177,160093,3.2%
千葉,4377,107131,4.1%
東京,28136,520982,5.4%
神奈川,7679,174913,4.4%
新潟,179,16561,1.1%
富山,422,13702,3.1%
石川,786,14881,5.3%
福井,249,10299,2.4%
山梨,199,11097,1.8%
長野,320,20539,1.6%
岐阜,638,24608,2.6%
静岡,568,38416,1.5%
,5581,86751,6.4%
三重,542,14421,3.8%
滋賀,519,13160,3.9%
京都,1892,47233,4.0%
大阪,11310,206198,5.5%
,2927,61917,4.7%
奈良,605,22780,2.7%
和歌山,252,9838,2.6%
鳥取,36,5541,0.6%
島根,140,5962,2.3%
岡山,168,8654,1.9%
広島,642,24784,2.6%
山口,209,10742,1.9%
徳島,149,7122,2.1%
香川,96,11948,0.8%
愛媛,115,4204,2.7%
高知,139,3554,3.9%
,5112,147207,3.5%
佐賀,249,6335,3.9%
長崎,241,20360,1.2%
熊本,720,18020,4.0%
大分,158,18654,0.8%
宮崎,344,8692,4.0%
鹿児島,456,21051,2.2%
沖縄,2787,45430,6.1%
長崎船,149,0,-
合計,89637,2133253,4.2%
