都道府県名,陽性者数 検査人数,,%
北海道,22283,490767,4.5%
青森,1299,29268,4.4%
岩手,776,52020,1.5%
宮城,7552,109986,6.9%
秋田,362,9023,4.0%
山形,1323,41557,3.2%
福島,2948,169835,1.7%
茨城,7385,28311,26.1%
栃木,5057,188703,2.7%
群馬,5460,126060,4.3%
埼玉,35286,705114,5.0%
千葉,31463,514336,6.1%
東京,129540,1897539,6.8%
神奈川,50659,752210,6.7%
新潟,1915,95014,2.0%
富山,1120,45854,2.4%
石川,2164,65628,3.3%
福井,710,41364,1.7%
山梨,1057,33554,3.2%
長野,3413,132835,2.6%
岐阜,5333,174214,3.1%
静岡,6110,270275,2.3%
愛知,29757,508020,5.9%
三重,3153,86936,3.6%
滋賀,3173,96434,3.3%
京都,10616,192691,5.5%
大阪,66752,1234249,5.4%
兵庫,24796,337080,7.4%
奈良,4997,109994,4.5%
和歌山,1734,29905,5.8%
鳥取,334,56026,0.6%
島根,297,18895,1.6%
岡山,3153,84188,3.7%
広島,5373,199024,2.7%
山口,1540,74020,2.1%
徳島,865,36645,2.4%
香川,1055,57248,1.8%
愛媛,1907,50612,3.8%
高知,960,7581,12.7%
福岡,19995,549351,3.6%
佐賀,1327,34624,3.8%
長崎,1749,84828,2.1%
熊本,3591,59318,6.1%
大分,1373,101094,1.4%
宮崎,2043,27504,7.4%
鹿児島,1946,77595,2.5%
沖縄,11397,178411,6.4%
長崎船,149,0,-
合計,527247,10265740,5.1%
