都道府県名,陽性者数 検査人数,,%
北海道,34581,638209,5.4%
青森,2158,40642,5.3%
岩手,1343,69814,1.9%
宮城,8729,139944,6.2%
秋田,741,12871,5.8%
山形,1882,55321,3.4%
福島,4446,226289,2.0%
茨城,9401,31981,29.4%
栃木,6081,236792,2.6%
群馬,7581,158529,4.8%
埼玉,42824,846908,5.1%
千葉,36327,591781,6.1%
東京,156785,2210765,7.1%
神奈川,59757,891644,6.7%
新潟,3046,133647,2.3%
富山,1739,59309,2.9%
石川,3472,83487,4.2%
福井,1021,57477,1.8%
山梨,1447,38972,3.7%
長野,4621,168365,2.7%
岐阜,8287,225801,3.7%
静岡,7906,334739,2.4%
愛知,44093,647776,6.8%
三重,4707,116606,4.0%
滋賀,4792,122280,3.9%
京都,15352,246203,6.2%
大阪,97738,1730305,5.6%
兵庫,38757,441555,8.8%
奈良,7726,145913,5.3%
和歌山,2563,39091,6.6%
鳥取,453,70646,0.6%
島根,498,24335,2.0%
岡山,6930,108427,6.4%
広島,9610,400161,2.4%
山口,2736,98010,2.8%
徳島,1618,56063,2.9%
香川,1939,74014,2.6%
愛媛,2666,79801,3.3%
高知,1266,8973,14.1%
福岡,32722,718023,4.6%
佐賀,2411,47356,5.1%
長崎,2822,108011,2.6%
熊本,5902,76017,7.8%
大分,3164,138870,2.3%
宮崎,2939,38919,7.6%
鹿児島,3131,96915,3.2%
沖縄,15081,209874,7.2%
長崎船,149,0,-
合計,715940,13097431,5.5%
