都道府県名,陽性者数,検査人数,備考
北海道,154,1587,
⻘森県,0,75,
岩手県,0,24,
宮城県,1,138,
秋田県,2,109,
山形県,0,123,
福島県,2,127,
茨城県,2,454,
栃木県,3,242,
群馬県,10,161,
埼玉県,34,646,
千葉県,33,,
東京都,117,1743,
神奈川県,59,,
新潟県,21,,
富山県,0,54,
石川県,7,165,
福井県,1,92,
山梨県,2,325,
⻑野県,4,295,
岐阜県,3,270,
静岡県,3,,
愛知県,130,847,
三重県,8,277,
滋賀県,4,140,
京都府,20,770,
大阪府,117,,
兵庫県,90,1020,
奈良県,8,163,
和歌山県,15,1090,
鳥取県,0,110,
島根県,0,86,
岡山県,0,175,
広島県,1,521,
山口県,3,157,
徳島県,1,79,
香川県,1,122,
愛媛県,3,181,
高知県,12,267,
福岡県,4,610,
佐賀県,1,91,
⻑崎県,1,200,
熊本県,6,,
大分県,1,163,
宮崎県,3,143,
鹿児島県,0,,
沖縄県,3,230,
合計,890,14072,
