都道府県名,陽性者数,検査人数,備考
北海道,185,2218,
青森県,9,160,
岩手県,0,73,
宮城県,12,244,3/31時点
秋田県,7,321,
山形県,1,275,
福島県,8,238,
茨城県,26,1266,
栃木県,14,571,
群馬県,20,542,
埼玉県,113,1476,
千葉県,181,712,
東京都,690,3402,
神奈川県,153,954,
新潟県,31,1139,
富山県,8,137,
石川県,16,248,
福井県,31,233,
山梨県,9,579,
長野県,9,596,
岐阜県,22,806,
静岡県,6,957,
愛知県,186,3123,
三重県,12,507,
滋賀県,8,259,
京都府,79,1189,4/2時点
大阪府,312,1149,
兵庫県,167,2610,
奈良県,19,355,
和歌山県,20,1531,
鳥取県,0,201,
島根県,0,152,
岡山県,7,365,
広島県,6,1023,
山口県,6,328,
徳島県,3,156,
香川県,2,304,
愛媛県,11,312,
高知県,21,417,
福岡県,62,1198,
佐賀県,4,153,
長崎県,5,429,
熊本県,15,1036,
大分県,30,1710,
宮崎県,3,326,
鹿児島県,3,308,
沖縄県,9,399,
合計,2541,36687,
