都道府県名,陽性者数 検査人数,,%
北海道,36950,666980,5.5%
青森,2315,43315,5.3%
岩手,1407,72307,1.9%
宮城,8823,143109,6.2%
秋田,755,13668,5.5%
山形,1940,58114,3.3%
福島,4542,237394,1.9%
茨城,9640,32520,29.6%
栃木,6278,260293,2.4%
群馬,7764,165713,4.7%
埼玉,43433,871262,5.0%
千葉,36867,607354,6.1%
東京,159708,2264291,7.1%
神奈川,60886,918476,6.6%
新潟,3159,141254,2.2%
富山,1839,62962,2.9%
石川,3691,89282,4.1%
福井,1035,58594,1.8%
山梨,1522,41166,3.7%
長野,4747,176258,2.7%
岐阜,8628,235343,3.7%
静岡,8247,348307,2.4%
愛知,46057,691532,6.7%
三重,4836,123611,3.9%
滋賀,4988,125872,4.0%
京都,15644,252467,6.2%
大阪,99208,1794350,5.5%
兵庫,39386,452865,8.7%
奈良,7839,150366,5.2%
和歌山,2595,39674,6.5%
鳥取,463,72736,0.6%
島根,529,26359,2.0%
岡山,7244,133532,5.4%
広島,10327,400161,2.6%
山口,2881,103923,2.8%
徳島,1628,57978,2.8%
香川,1983,76346,2.6%
愛媛,2699,84938,3.2%
高知,1398,9415,14.8%
福岡,33697,738981,4.6%
佐賀,2478,49075,5.0%
長崎,2864,110651,2.6%
熊本,6143,77790,7.9%
大分,3309,143872,2.3%
宮崎,3019,40988,7.4%
鹿児島,3256,100112,3.3%
沖縄,16296,215732,7.6%
長崎船,149,0,-
合計,735092,13581288,5.4%
