都道府県名,陽性者数 検査人数,,%
北海道,1849,48361,3.8%
青森,35,2189,1.6%
岩手,23,3554,0.6%
宮城,267,8569,3.1%
秋田,50,1850,2.7%
山形,78,3138,2.5%
福島,191,16451,1.2%
茨城,593,11520,5.1%
栃木,323,25197,1.3%
群馬,502,16368,3.1%
埼玉,4202,122293,3.4%
千葉,3309,63768,5.2%
東京,22444,372223,6.0%
神奈川,5741,127408,4.5%
新潟,147,13684,1.1%
富山,407,10487,3.9%
石川,722,10201,7.1%
福井,244,9099,2.7%
山梨,178,9927,1.8%
長野,295,16893,1.7%
岐阜,569,19425,2.9%
静岡,503,29325,1.7%
愛知,4751,60763,7.8%
三重,445,10957,4.1%
滋賀,467,10321,4.5%
京都,1600,35400,4.5%
大阪,9324,153772,6.1%
兵庫,2400,48403,5.0%
奈良,542,18123,3.0%
和歌山,235,8858,2.7%
鳥取,22,4606,0.5%
島根,137,5145,2.7%
岡山,146,7511,1.9%
広島,464,18590,2.5%
山口,193,7640,2.5%
徳島,146,6513,2.2%
香川,86,9006,1.0%
愛媛,114,3909,2.9%
高知,134,3255,4.1%
福岡,4869,43555,11.2%
佐賀,243,5421,4.5%
長崎,234,16081,1.5%
熊本,557,12621,4.4%
大分,158,14122,1.1%
宮崎,339,8267,4.1%
鹿児島,372,17011,2.2%
沖縄,2259,31139,7.3%
長崎船,149,0,-
合計,73058,1502919,4.9%
