都道府県名,陽性者数 検査人数,,%
北海道,20421,427128,4.8%
青森,896,23163,3.9%
岩手,588,41434,1.4%
宮城,4744,80380,5.9%
秋田,277,7368,3.8%
山形,667,31251,2.1%
福島,2327,135317,1.7%
茨城,6418,25709,25.0%
栃木,4431,164663,2.7%
群馬,4831,106766,4.5%
埼玉,31724,614834,5.2%
千葉,28736,455592,6.3%
東京,117704,1688589,7.0%
神奈川,47141,663002,7.1%
新潟,1295,76206,1.7%
富山,921,40107,2.3%
石川,1894,57661,3.3%
福井,553,34143,1.6%
山梨,956,29599,3.2%
長野,2542,109665,2.3%
岐阜,4833,151013,3.2%
静岡,5499,231464,2.4%
愛知,26715,441143,6.1%
三重,2643,73145,3.6%
滋賀,2699,82793,3.3%
京都,9269,171236,5.4%
大阪,49237,951849,5.2%
兵庫,18905,280491,6.7%
奈良,3516,91182,3.9%
和歌山,1204,25509,4.7%
鳥取,210,45162,0.5%
島根,285,17152,1.7%
岡山,2627,75671,3.5%
広島,5086,173745,2.9%
山口,1397,64978,2.1%
徳島,471,29325,1.6%
香川,779,48705,1.6%
愛媛,1087,36377,3.0%
高知,912,7339,12.4%
福岡,18750,488259,3.8%
佐賀,1163,30831,3.8%
長崎,1616,73682,2.2%
熊本,3491,57599,6.1%
大分,1301,88364,1.5%
宮崎,1953,24807,7.9%
鹿児島,1775,70870,2.5%
沖縄,8768,158584,5.5%
長崎船,149,0,-
合計,455406,8803852,5.2%
