都道府県名,陽性者数 検査人数,,%
北海道,2854,76941,3.7%
青森,195,4380,4.5%
,27,5222,0.5%
宮城,610,13300,4.6%
秋田,61,2464,2.5%
山形,86,5917,1.5%
福島,387,27846,1.4%
茨城,744,13674,5.4%
栃木,480,41603,1.2%
群馬,874,28285,3.1%
埼玉,5682,177818,3.2%
千葉,4880,121673,4.0%
東京,30285,580494,5.2%
神奈川,8453,193081,4.4%
新潟,182,17489,1.0%
富山,422,14373,2.9%
石川,800,16493,4.9%
福井,256,10927,2.3%
山梨,206,11474,1.8%
⾧野,334,22491,1.5%
岐阜,672,26370,2.5%
静岡,605,41601,1.5%
,5906,95251,6.2%
三重,555,15441,3.6%
滋賀,543,13830,3.9%
京都,1981,51562,3.8%
大阪,12231,227942,5.4%
,3147,66897,4.7%
奈良,626,24237,2.6%
和歌山,272,10313,2.6%
鳥取,37,5679,0.7%
島根,141,6154,2.3%
岡山,215,10217,2.1%
広島,656,27097,2.4%
山口,213,11710,1.8%
徳島,164,7421,2.2%
香川,101,13252,0.8%
愛媛,116,4319,2.7%
高知,143,3615,4.0%
,5189,160141,3.2%
佐賀,254,6968,3.6%
⾧崎,244,21887,1.1%
熊本,774,19110,4.1%
大分,159,20342,0.8%
宮崎,367,8765,4.2%
鹿児島,463,21887,2.1%
沖縄,3217,54559,5.9%
⾧崎船,149,0,-
合計,96958,2362512,4.1%
