都道府県名,陽性者数 検査人数,,%
北海道,22174,487612,4.5%
青森,1273,29134,4.4%
岩手,774,51627,1.5%
宮城,7487,108929,6.9%
秋田,356,9023,3.9%
山形,1307,41495,3.1%
福島,2927,168846,1.7%
茨城,7322,28311,25.9%
栃木,5027,187259,2.7%
群馬,5424,126060,4.3%
埼玉,35079,701727,5.0%
千葉,31307,513169,6.1%
東京,128781,1890182,6.8%
神奈川,50412,752210,6.7%
新潟,1882,94664,2.0%
富山,1100,45854,2.4%
石川,2148,65350,3.3%
福井,703,41086,1.7%
山梨,1057,33554,3.2%
長野,3351,131957,2.5%
岐阜,5295,173048,3.1%
静岡,6090,270275,2.3%
愛知,29533,508020,5.8%
三重,3125,86936,3.6%
滋賀,3135,96218,3.3%
京都,10616,192691,5.5%
大阪,65591,1216797,5.4%
兵庫,24286,334096,7.3%
奈良,4907,109994,4.5%
和歌山,1699,29721,5.7%
鳥取,326,55521,0.6%
島根,296,18895,1.6%
岡山,3100,84188,3.7%
広島,5350,199024,2.7%
山口,1503,74020,2.0%
徳島,821,36414,2.3%
香川,1039,56861,1.8%
愛媛,1864,49381,3.8%
高知,953,7559,12.6%
福岡,19857,546370,3.6%
佐賀,1309,34491,3.8%
長崎,1725,84223,2.0%
熊本,3591,59318,6.1%
大分,1367,100515,1.4%
宮崎,2043,27504,7.4%
鹿児島,1946,77595,2.5%
沖縄,11240,177513,6.3%
長崎船,149,0,-
合計,522647,10215237,5.1%
