都道府県名,陽性者数 検査人数,,%
北海道,22565,496381,4.5%
青森,1336,30076,4.4%
岩手,786,52575,1.5%
宮城,7656,112508,6.8%
秋田,390,9251,4.2%
山形,1361,43660,3.1%
福島,3034,172745,1.8%
茨城,7517,28542,26.3%
栃木,5103,190315,2.7%
群馬,5526,128404,4.3%
埼玉,35777,715550,5.0%
千葉,31820,516585,6.2%
東京,131199,1920583,6.8%
神奈川,51178,765859,6.7%
新潟,1985,98076,2.0%
富山,1165,47386,2.5%
石川,2215,66475,3.3%
福井,753,42650,1.8%
山梨,1078,35312,3.1%
長野,3545,137284,2.6%
岐阜,5413,176424,3.1%
静岡,6183,276938,2.2%
愛知,30318,519113,5.8%
三重,3226,86936,3.7%
滋賀,3277,97880,3.3%
京都,11033,198192,5.6%
大阪,69841,1266690,5.5%
兵庫,26032,345533,7.5%
奈良,5245,114932,4.6%
和歌山,1862,30171,6.2%
鳥取,343,57886,0.6%
島根,298,18895,1.6%
岡山,3282,89012,3.7%
広島,5467,204294,2.7%
山口,1593,74020,2.2%
徳島,964,38873,2.5%
香川,1084,57847,1.9%
愛媛,1998,52679,3.8%
高知,970,7610,12.7%
福岡,20359,556925,3.7%
佐賀,1390,35492,3.9%
長崎,1792,86258,2.1%
熊本,3700,60343,6.1%
大分,1385,102483,1.4%
宮崎,2053,27921,7.4%
鹿児島,1983,78865,2.5%
沖縄,11652,181529,6.4%
長崎船,149,0,-
合計,538881,10453958,5.2%
