都道府県名,陽性者数 検査人数,,%
北海道,16440,294359,5.6%
青森,668,12370,5.4%
岩手,485,18647,2.6%
宮城,3169,45417,7.0%
秋田,235,6089,3.9%
山形,456,12970,3.5%
福島,1548,76224,2.0%
茨城,4187,21908,19.1%
栃木,3487,96058,3.6%
群馬,3545,69533,5.1%
埼玉,22735,413312,5.5%
千葉,19507,299683,6.5%
東京,91834,1232076,7.5%
神奈川,36953,455639,8.1%
新潟,831,34519,2.4%
富山,832,28649,2.9%
石川,1403,37980,3.7%
福井,471,24855,1.9%
山梨,874,14741,5.9%
長野,2129,69826,3.0%
岐阜,3863,94663,4.1%
静岡,4146,128855,3.2%
愛知,22181,281822,7.9%
三重,1936,42391,4.6%
滋賀,1906,50438,3.8%
京都,7393,118410,6.2%
大阪,40508,596455,6.8%
兵庫,14703,182530,8.1%
奈良,2797,63299,4.4%
和歌山,965,20003,4.8%
鳥取,186,31666,0.6%
島根,242,11764,2.1%
岡山,2203,47392,4.6%
広島,4533,107047,4.2%
山口,1026,40022,2.6%
徳島,350,19453,1.8%
香川,580,34210,1.7%
愛媛,909,22287,4.1%
高知,815,6666,12.2%
福岡,14385,338817,4.2%
佐賀,876,21260,4.1%
長崎,1359,52286,2.6%
熊本,3076,48014,6.4%
大分,1014,57712,1.8%
宮崎,1696,20872,8.1%
鹿児島,1497,51830,2.9%
沖縄,6862,115456,5.9%
長崎船,149,0,-
合計,353945,5870475,6.0%
