都道府県名,陽性者数 検査人数,,%
北海道,41529,790155,5.3%
青森,2526,51742,4.9%
岩手,1737,87392,2.0%
宮城,9206,159332,5.8%
秋田,915,16024,5.7%
山形,2028,66941,3.0%
福島,4985,285843,1.7%
茨城,10680,33651,31.7%
栃木,7159,306938,2.3%
群馬,8054,197085,4.1%
埼玉,47157,984623,4.8%
千葉,41139,705517,5.8%
東京,177436,2566832,6.9%
神奈川,68690,1059024,6.5%
新潟,3434,175273,2.0%
富山,2049,75011,2.7%
石川,3972,124317,3.2%
福井,1335,70715,1.9%
山梨,2125,58651,3.6%
長野,5045,210497,2.4%
岐阜,9472,274570,3.4%
静岡,9436,413085,2.3%
愛知,51245,844270,6.1%
三重,5286,145510,3.6%
滋賀,5580,155275,3.6%
京都,16685,287125,5.8%
大阪,104064,2194241,4.7%
兵庫,41043,515120,8.0%
奈良,8392,172470,4.9%
和歌山,2693,42211,6.4%
鳥取,493,84934,0.6%
島根,554,31436,1.8%
岡山,7599,165308,4.6%
広島,11538,557416,2.1%
山口,3162,122050,2.6%
徳島,1658,65792,2.5%
香川,2104,87060,2.4%
愛媛,2755,97172,2.8%
高知,1859,11664,15.9%
福岡,35697,844175,4.2%
佐賀,2567,57893,4.4%
長崎,3217,127033,2.5%
熊本,6492,82343,7.9%
大分,3495,171409,2.0%
宮崎,3102,44655,6.9%
鹿児島,3706,112366,3.3%
沖縄,21107,255494,8.3%
長崎船,149,0,-
合計,806351,15987640,5.0%
