都道府県名,陽性者数 検査人数,,%
北海道,1769,43478,4.1%
青森,35,1982,1.8%
岩手,19,2900,0.7%
宮城,203,7721,2.6%
秋田,49,1749,2.8%
山形,78,3100,2.5%
福島,158,14522,1.1%
茨城,544,10496,5.2%
栃木,303,22112,1.4%
群馬,437,14090,3.1%
埼玉,3904,104313,3.7%
千葉,3033,54796,5.5%
東京,20717,316316,6.5%
神奈川,4912,110988,4.4%
新潟,142,12621,1.1%
富山,385,7417,5.2%
石川,624,7933,7.9%
福井,211,7658,2.8%
山梨,172,9415,1.8%
長野,249,13898,1.8%
岐阜,555,17900,3.1%
静岡,478,24082,2.0%
愛知,4457,52636,8.5%
三重,365,9576,3.8%
滋賀,444,8885,5.0%
京都,1401,29864,4.7%
大阪,8491,133113,6.4%
兵庫,2255,43874,5.1%
奈良,515,12972,4.0%
和歌山,230,8592,2.7%
鳥取,22,4535,0.5%
島根,137,4851,2.8%
岡山,145,5880,2.5%
広島,457,17447,2.6%
山口,164,6713,2.4%
徳島,128,5778,2.2%
香川,77,7898,1.0%
愛媛,114,3769,3.0%
高知,125,3036,4.1%
福岡,4488,40258,11.1%
佐賀,237,5035,4.7%
長崎,230,14346,1.6%
熊本,511,11236,4.5%
大分,145,12102,1.2%
宮崎,335,7943,4.2%
鹿児島,361,15116,2.4%
沖縄,2117,25614,8.3%
長崎船,149,0,-
合計,67077,1300556,5.2%
