都道府県名,陽性者数 検査人数,,%
北海道,1096,14593,7.5%
青森,27,857,3.2%
岩手,0,695,0.0%
宮城,88,2952,3.0%
秋田,16,935,1.7%
山形,69,2665,2.6%
福島,81,4588,1.8%
茨城,168,4691,3.6%
栃木,66,3973,1.7%
群馬,149,3713,4.0%
埼玉,1003,21810,4.6%
千葉,906,14881,6.1%
東京,5283,15282,34.6%
神奈川,1373,9974,13.8%
新潟,83,4216,2.0%
富山,227,3407,6.7%
石川,298,2733,10.9%
福井,122,2675,4.6%
山梨,64,4088,1.6%
長野,76,2733,2.8%
岐阜,151,3652,4.1%
静岡,76,3539,2.1%
愛知,508,10211,5.0%
三重,45,2508,1.8%
滋賀,100,1874,5.3%
京都,358,8135,4.4%
大阪,1783,31646,5.6%
兵庫,699,11206,6.2%
奈良,92,2545,3.6%
和歌山,63,3713,1.7%
鳥取,3,1353,0.2%
島根,24,1132,2.1%
岡山,25,1716,1.5%
広島,167,7011,2.4%
山口,37,1771,2.1%
徳島,5,745,0.7%
香川,28,2202,1.3%
愛媛,82,2262,3.6%
高知,74,1801,4.1%
福岡,774,12967,6.0%
佐賀,47,1428,3.3%
長崎,17,2798,0.6%
熊本,48,3939,1.2%
大分,60,4050,1.5%
宮崎,17,1391,1.2%
鹿児島,10,1880,0.5%
沖縄,142,2872,4.9%
長崎船,149,-,-
合計,16779,251808,6.7%
