都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1096,14593,197,11,812,87
青   森,27,857,0,0,26,1
岩    手,0,695,0,0,0,0
宮    城,88,2952,0,0,87,1
秋  田,16,935,0,0,16,0
山    形,69,2665,3,1,66,0
福    島,81,4588,6,0,75,0
茨    城,168,4691,5,0,153,10
栃    木,66,3973,14,1,53,0
群    馬,149,3713,8,1,122,19
埼    玉,1003,21810,50,4,905,48
千    葉,906,14881,37,4,824,45
東    京,5283,15282,391,26,4586,306
神 奈 川,1373,9974,164,19,1123,86
新    潟,83,4216,1,0,81,0
富    山,227,3407,12,0,193,22
石    川,298,2733,46,2,227,25
福    井,122,2675,2,1,112,8
山    梨,64,4088,4,0,59,1
長    野,76,2733,5,0,71,-
岐    阜,151,3652,3,1,141,7
静    岡,76,3539,2,0,73,1
愛    知,508,10211,12,0,457,34
三    重,45,2508,0,0,44,1
滋    賀,100,1874,8,1,91,1
京    都,358,8135,16,1,325,17
大    阪,1783,31646,93,15,1602,84
兵    庫,699,11206,25,4,632,42
奈    良,92,2545,2,0,88,2
和 歌 山,63,3713,3,0,57,3
鳥    取,3,1353,0,0,3,0
島    根,24,1132,2,1,22,0
岡    山,25,1716,0,-,25,-
広    島,167,7011,6,0,158,3
山    口,37,1771,1,1,36,0
徳    島,5,745,0,0,4,1
香    川,28,2202,0,0,28,0
愛    媛,82,2262,24,1,54,4
高    知,74,1801,0,0,71,3
福    岡,774,12967,121,4,626,27
佐    賀,47,1428,0,0,45,0
長    崎,17,2798,0,0,16,1
熊    本,48,3939,1,0,44,3
大    分,60,4050,1,0,58,1
宮    崎,17,1391,0,0,17,0
鹿 児 島,10,1880,0,0,10,0
沖    縄,142,2872,3,2,137,6
(その他),149,-,2,-,147,-
合計,16779,251808,1270,101,14602,900
