都道府県名,陽性者数 検査人数,,%
北海道,31307,604507,5.2%
青森,2009,39061,5.1%
岩手,1257,66174,1.9%
宮城,8608,132042,6.5%
秋田,711,12636,5.6%
山形,1751,54330,3.2%
福島,4288,213960,2.0%
茨城,9125,31622,28.9%
栃木,5910,230942,2.6%
群馬,7304,155741,4.7%
埼玉,41876,827576,5.1%
千葉,35703,582980,6.1%
東京,153390,2170457,7.1%
神奈川,58318,875722,6.7%
新潟,2892,128831,2.2%
富山,1548,57305,2.7%
石川,3292,79187,4.2%
福井,995,55951,1.8%
山梨,1409,38972,3.6%
長野,4401,164815,2.7%
岐阜,7803,216746,3.6%
静岡,7564,327690,2.3%
愛知,41083,628237,6.5%
三重,4531,109813,4.1%
滋賀,4586,115996,4.0%
京都,14779,237993,6.2%
大阪,95666,1661807,5.8%
兵庫,37668,428195,8.8%
奈良,7522,142577,5.3%
和歌山,2503,37657,6.6%
鳥取,440,68998,0.6%
島根,457,22393,2.0%
岡山,6374,108427,5.9%
広島,8593,321772,2.7%
山口,2506,92132,2.7%
徳島,1590,51158,3.1%
香川,1833,70647,2.6%
愛媛,2638,74516,3.5%
高知,1173,8730,13.4%
福岡,30868,690462,4.5%
佐賀,2279,45578,5.0%
長崎,2773,104764,2.6%
熊本,5485,72961,7.5%
大分,2960,133170,2.2%
宮崎,2867,37990,7.5%
鹿児島,2946,93644,3.1%
沖縄,14086,205055,6.9%
長崎船,149,0,-
合計,689816,12631919,5.5%
