都道府県名,陽性者数,検査人数,%
滋賀県,52,636,8.2%
京都府,215,2362,9.1%
大阪府,969,3504,24.1%
兵庫県,423,4640,9.1%
奈良県,53,676,7.8%
和歌山県,37,2197,1.7%
鳥取県,1,446,0.2%
島根県,13,517,2.5%
岡山県,16,722,2.2%
広島県,67,2334,2.9%
山口県,28,773,3.6%
徳島県,3,259,1.2%
香川県,20,721,2.8%
愛媛県,40,680,5.9%
高知県,62,1007,6.2%
福岡県,433,5667,7.6%
佐賀県,17,451,3.8%
長崎県,15,1221,1.2%
熊本県,31,2056,1.5%
大分県,50,2239,2.2%
宮崎県,17,790,2.2%
鹿児島県,4,699,0.6%
沖縄県,86,931,9.2%
合計,8442,81825,10.0%
北海道,302,3473,8.7%
青森県,22,433,5.1%
岩手県,0,181,0.0%
宮城県,65,992,6.6%
秋田県,16,666,2.4%
山形県,45,1118,4.0%
福島県,40,786,5.1%
茨城県,119,2883,4.1%
栃木県,39,1167,3.3%
群馬県,107,1866,5.7%
埼玉県,479,3635,13.2%
千葉県,525,2688,18.0%
東京都,2457,6654,36.9%
神奈川県,614,3476,15.8%
新潟県,46,1874,2.5%
富山県,54,1021,5.3%
石川県,140,826,16.9%
福井県,100,865,11.6%
山梨県,39,1295,3.0%
長野県,36,1159,3.1%
岐阜県,128,1626,7.9%
静岡県,47,1790,2.6%
愛知県,350,4784,7.3%
三重県,20,1039,1.9%
