都道府県名,陽性者数 検査人数,,%
北海道,21227,457671,4.6%
青森,1080,25712,4.2%
岩手,704,46891,1.5%
宮城,6458,93278,6.9%
秋田,301,7580,4.0%
山形,1033,36006,2.9%
福島,2604,154693,1.7%
茨城,6876,26579,25.9%
栃木,4756,176544,2.7%
群馬,5111,114876,4.4%
埼玉,33407,658475,5.1%
千葉,30053,485350,6.2%
東京,122702,1783496,6.9%
神奈川,48608,702970,6.9%
新潟,1556,84673,1.8%
富山,951,42146,2.3%
石川,1952,61334,3.2%
福井,616,36556,1.7%
山梨,981,32134,3.1%
長野,2934,117807,2.5%
岐阜,5008,161957,3.1%
静岡,5821,250200,2.3%
愛知,27707,469439,5.9%
三重,2843,79034,3.6%
滋賀,2847,88147,3.2%
京都,9573,179251,5.3%
大阪,54689,1087693,5.0%
兵庫,20636,304215,6.8%
奈良,3952,98084,4.0%
和歌山,1350,27327,4.9%
鳥取,277,49625,0.6%
島根,288,18022,1.6%
岡山,2755,81422,3.4%
広島,5198,181159,2.9%
山口,1438,68811,2.1%
徳島,586,33268,1.8%
香川,901,52775,1.7%
愛媛,1486,41691,3.6%
高知,923,7455,12.4%
福岡,19119,516505,3.7%
佐賀,1219,32540,3.7%
長崎,1645,78632,2.1%
熊本,3517,58352,6.0%
大分,1322,93868,1.4%
宮崎,1966,24863,7.9%
鹿児島,1855,74384,2.5%
沖縄,9891,167146,5.9%
長崎船,149,0,-
合計,482871,9470636,5.1%
