都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,934,8319,462,23,424,48
青   森,27,749 -,,-,17 -,
岩    手,0,410,0,0,0,0
宮    城,88,2183,8 -,,79,1
秋  田,16,861 -,,-,0 -,
山    形,69,2432,13 -,,56 -,
福    島,81,2343,36 -,,45,0
茨    城,168,3826,71,3,78,9
栃    木,54,2287 -,,-,25 -,
群    馬,147,3038,65,2,64,18
埼    玉,962,11661,396,10,525,41
千    葉,879,12290,224,12,448,39
東    京,4846,13124,2514,83,2152,180
神 奈 川,1158,1610,458,30,645,47
新    潟,82,3345,36 -,,46 -,
富    山,216,2709,134 -,,69,13
石    川,277,2207,131 -,,130,16
福    井,122,2026,21,3,93,8
山    梨,56,2806,8,1,48,0
長    野,74,2054,37,2,37 -,
岐    阜,150,3404,30,1,114,6
静    岡,73,3075,26,2,46,1
愛    知,491,8027,115,5,339,34
三    重,45,2132,12,0,32,1
滋    賀,97,1444,31,1,65,1
京    都,347,5267,107 -,,227,13
大    阪,1732,20263,672,56,990,59
兵    庫,688,8850,185,23,463,32
奈    良,90,2035,22 -,,66,2
和 歌 山,62,3339,12 -,,48,2
鳥    取,3,1154,2 -,,1,0
島    根,24,896 -,,-,11 -,
岡    山,24,1344,8 -,,15 -,
広    島,165,5746,89 -,,74,2
山    口,37,1521,4 -,,33 -,
徳    島,5,582 -,,-,3 -,
香    川,28,1820,15,0,13,0
愛    媛,48,1238,7,2,38,3
高    知,74,1527,10,0,61,3
福    岡,653,10429,178 -,,451,24
佐    賀,45,1219,22,1,21,0
長    崎,17,2320,2,0,14,1
熊    本,48,623,27,2,18,3
大    分,60,3415 -,,-,51,1
宮    崎,17,3466,5 -,,12 -,
鹿 児 島,11,1213 -,,-,7 -,
沖    縄,142,1446,55,5,82,5
(その他),149,2403 -,,-,0 -,
合計,15581,180478,6250,267,8276,613
