都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1552,33821,133,3,1316,103
青 森,32,1549,2,0,29,1
岩手,7,1907,6,0,1,0
宮城,182,6782,24,1,157,1
秋  田,35,1201,19,0,16,0
山形,76,2978,1,0,75,1
福島,98,11053,10,0,88,0
茨城,403,8181,106,1,287,10
栃木,249,16745,49,2,179,0
群馬,234,9293,52,0,163,19
埼玉,2920,79080,607,6,2234,79
千葉,2205,32778,624,6,1527,54
東京,16064,221676,3760,24,11970,334
神奈川,3305,42717,517,14,2687,101
新潟,128,7466,20,0,107,0
富山,286,5841,48,1,216,22
石川,376,3578,59,2,289,28
福井,154,5588,18,2,128,8
山梨,124,7778,31,0,92,1
長野,132,9479,35,0,97,-
岐阜,472,13573,146,2,319,7
静岡,345,16211,111,0,233,1
愛知,2675,29908,1855,9,1241,37
三重,238,6002,133,2,97,1
滋賀,298,5907,127,3,169,2
京都,923,20966,215,3,687,21
大阪,5892,92007,1701,41,4092,96
兵庫,1636,32165,321,10,1268,47
奈良,336,15767,97,1,237,2
和歌山,182,6999,22,0,154,4
鳥取,21,4096,16,0,5,0
島根,123,3225,0,0,121,0
岡山,113,3533,27,-,84,-
広島,410,14241,95,1,307,3
山口,78,4528,25,0,53,0
徳島,60,2919,40,0,12,1
香川,60,5553,14,1,46,0
愛媛,107,3257,15,1,87,5
高知,83,2395,3,0,77,3
福岡,3012,31278,1290,16,1685,37
佐賀,157,3464,82,0,94,0
長崎,167,9447,43,-,36,3
熊本,357,8234,148,2,126,5
大分,92,7959,28,1,63,1
宮崎,234,5940,120,3,114,0
鹿児島,277,12288,55,2,209,3
沖縄,1179,15757,874,11,299,10
(その他),149,-,0,-,149,-
合計,48238,887110,13724,171,33722,1051
