都道府県名,陽性者数 検査人数,,%
北海道,4221,94853,4.5%
青森,274,6004,4.6%
,30,5725,0.5%
宮城,872,15374,5.7%
秋田,68,2667,2.5%
山形,89,6831,1.3%
福島,418,33183,1.3%
茨城,834,14373,5.8%
栃木,503,46544,1.1%
群馬,932,30881,3.0%
埼玉,6363,199115,3.2%
千葉,5434,137000,4.0%
東京,33060,641107,5.2%
神奈川,9474,214729,4.4%
新潟,200,18628,1.1%
富山,425,15366,2.8%
石川,824,18907,4.4%
福井,266,11730,2.3%
山梨,243,12161,2.0%
長野,387,24812,1.6%
岐阜,755,28212,2.7%
静岡,772,46257,1.7%
,6869,109029,6.3%
三重,599,16342,3.7%
,625,14966,4.2%
京都,2174,55334,3.9%
大阪,14120,257164,5.5%
,3538,73509,4.8%
奈良,754,26411,2.9%
和歌山,291,10767,2.7%
鳥取,51,6013,0.8%
島根,141,6281,2.2%
岡山,341,11198,3.0%
広島,678,29061,2.3%
山口,231,11960,1.9%
徳島,170,7603,2.2%
香川,107,14353,0.7%
愛媛,117,4468,2.6%
高知,144,3680,3.9%
,5307,173880,3.1%
佐賀,274,7808,3.5%
長崎,249,23873,1.0%
熊本,860,21086,4.1%
大分,161,22162,0.7%
宮崎,373,8828,4.2%
鹿児島,537,24022,2.2%
沖縄,3561,61958,5.7%
長崎船,149,0,-
合計,108865,2626215,4.1%
