都道府県名,陽性者数 検査人数,,%
北海道,9457,160918,5.9%
青森,321,7043,4.6%
岩手,213,9972,2.1%
宮城,1251,19428,6.4%
秋田,90,3689,2.4%
山形,152,7773,2.0%
福島,515,41257,1.2%
茨城,1777,17334,10.3%
栃木,719,56302,1.3%
群馬,1341,38912,3.4%
埼玉,8992,243953,3.7%
千葉,7314,171116,4.3%
東京,42793,792109,5.4%
神奈川,13314,265968,5.0%
新潟,350,23018,1.5%
富山,461,17786,2.6%
石川,864,23036,3.8%
福井,321,15547,2.1%
山梨,381,13645,2.8%
長野,774,33056,2.3%
岐阜,1195,42775,2.8%
静岡,1827,61478,3.0%
愛知,10723,143080,7.5%
三重,927,22079,4.2%
滋賀,808,28886,2.8%
京都,2736,68469,4.0%
大阪,21798,343630,6.3%
兵庫,6040,101093,6.0%
奈良,1264,35104,3.6%
和歌山,485,13881,3.5%
鳥取,61,17971,0.3%
島根,152,7158,2.1%
岡山,634,20802,3.0%
広島,943,35884,2.6%
山口,406,19028,2.1%
徳島,184,7871,2.3%
香川,155,17876,0.9%
愛媛,339,8264,4.1%
高知,196,3919,5.0%
福岡,5977,208176,2.9%
佐賀,333,10295,3.2%
長崎,273,27929,1.0%
熊本,1063,24757,4.3%
大分,360,29579,1.2%
宮崎,534,10314,5.2%
鹿児島,637,28192,2.3%
沖縄,4494,75018,6.0%
長崎船,149,0,-
合計,156093,3375370,4.6%
