都道府県名,陽性者数 検査人数,,%
北海道,40472,734653,5.5%
青森,2448,47747,5.1%
岩手,1590,80043,2.0%
宮城,9030,151062,6.0%
秋田,763,14046,5.4%
山形,2009,61869,3.2%
福島,4714,262020,1.8%
茨城,10135,32980,30.7%
栃木,6671,274446,2.4%
群馬,7980,182168,4.4%
埼玉,45040,918264,4.9%
千葉,38404,642098,6.0%
東京,166369,2381420,7.0%
神奈川,64195,972090,6.6%
新潟,3362,154992,2.2%
富山,1959,68443,2.9%
石川,3875,112509,3.4%
福井,1063,61324,1.7%
山梨,1777,47764,3.7%
長野,4934,189515,2.6%
岐阜,9267,255000,3.6%
静岡,8856,372339,2.4%
愛知,49716,763178,6.5%
三重,5145,134562,3.8%
滋賀,5405,139908,3.9%
京都,16348,269142,6.1%
大阪,101774,1969701,5.2%
兵庫,40490,482693,8.4%
奈良,8077,158592,5.1%
和歌山,2652,41061,6.5%
鳥取,466,79328,0.6%
島根,550,28600,1.9%
岡山,7550,153838,4.9%
広島,11194,523290,2.1%
山口,3066,113166,2.7%
徳島,1646,61381,2.7%
香川,2065,81546,2.5%
愛媛,2736,91492,3.0%
高知,1661,10557,15.7%
福岡,34974,788392,4.4%
佐賀,2539,53159,4.8%
長崎,3065,117900,2.6%
熊本,6402,80374,8.0%
大分,3467,157405,2.2%
宮崎,3056,43591,7.0%
鹿児島,3584,107325,3.3%
沖縄,19508,235918,8.3%
長崎船,149,0,-
合計,772198,14702891,5.3%
