都道府県名,陽性者数 検査人数,,%
北海道,2378,65059,3.7%
青森,39,2613,1.5%
,24,4676,0.5%
宮城,486,11525,4.2%
秋田,59,2336,2.5%
山形,81,5294,1.5%
福島,317,23132,1.4%
茨城,710,12963,5.5%
栃木,444,33493,1.3%
群馬,761,24875,3.1%
埼玉,5100,155260,3.3%
千葉,4322,106036,4.1%
東京,27793,510031,5.4%
神奈川,7537,171238,4.4%
新潟,179,16303,1.1%
富山,422,13428,3.1%
石川,780,14400,5.4%
福井,249,10203,2.4%
山梨,197,11030,1.8%
長野,320,20176,1.6%
岐阜,635,24152,2.6%
静岡,567,37686,1.5%
,5539,84673,6.5%
三重,538,14179,3.8%
滋賀,515,12916,4.0%
京都,1851,46473,4.0%
大阪,11180,202192,5.5%
,2905,61103,4.8%
奈良,600,22343,2.7%
和歌山,249,9755,2.6%
鳥取,36,5535,0.7%
島根,140,5932,2.4%
岡山,163,8654,1.9%
広島,642,24559,2.6%
山口,209,10670,2.0%
徳島,149,7096,2.1%
香川,94,11526,0.8%
愛媛,115,4189,2.7%
高知,139,3540,3.9%
,5105,144216,3.5%
佐賀,248,6296,3.9%
長崎,241,19974,1.2%
熊本,690,17694,3.9%
大分,158,18143,0.9%
宮崎,344,8672,4.0%
鹿児島,456,20585,2.2%
沖縄,2754,44764,6.2%
長崎船,149,0,-
合計,88609,2091588,4.2%
