都道府県名,陽性者数 検査人数,,%
北海道,19598,399419,4.9%
青森,822,20743,4.0%
岩手,555,28496,1.9%
宮城,3835,72507,5.3%
秋田,269,7148,3.8%
山形,545,28530,1.9%
福島,2121,121012,1.8%
茨城,6038,25099,24.1%
栃木,4194,151479,2.8%
群馬,4617,98906,4.7%
埼玉,30228,577277,5.2%
千葉,27391,428426,6.4%
東京,113861,1598193,7.1%
神奈川,45833,623066,7.4%
新潟,1139,46600,2.4%
富山,909,37539,2.4%
石川,1879,54127,3.5%
福井,546,33010,1.7%
山梨,941,27101,3.5%
長野,2379,102965,2.3%
岐阜,4782,142390,3.4%
静岡,5281,204207,2.6%
愛知,26168,410546,6.4%
三重,2570,67122,3.8%
滋賀,2604,76965,3.4%
京都,9120,161034,5.7%
大阪,47811,841637,5.7%
兵庫,18194,261380,7.0%
奈良,3414,85588,4.0%
和歌山,1168,24806,4.7%
鳥取,210,42929,0.5%
島根,284,16183,1.8%
岡山,2536,69524,3.6%
広島,5049,167414,3.0%
山口,1389,60724,2.3%
徳島,461,27790,1.7%
香川,763,46127,1.7%
愛媛,1067,34023,3.1%
高知,904,7178,12.6%
福岡,18275,461680,4.0%
佐賀,1114,29115,3.8%
長崎,1613,70044,2.3%
熊本,3462,57117,6.1%
大分,1297,83474,1.6%
宮崎,1953,24802,7.9%
鹿児島,1762,69052,2.6%
沖縄,8354,150343,5.6%
長崎船,149,0,-
合計,439454,8174837,5.4%
