都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,19598,399419,641,5,18243,696
青森,822,20743,19,0,783,20
岩手,555,28496,1,0,524,30
宮城,3835,72507,216,5,3594,25
秋田,269,7148,1,0,262,6
山形,545,28530,8,0,522,15
福島,2121,121012,217,10,1818,86
茨城,6038,25099,324,7,5596,118
栃木,4194,151479,115,1,4011,68
群馬,4617,98906,147,3,4382,88
埼玉,30228,577277,1340,41,28253,635
千葉,27391,428426,1173,22,25729,489
東京,113861,1598193,2660,39,109701,1500
神奈川,45833,623066,994,31,44122,717
新潟,1139,46600,67,2,1056,16
富山,909,37539,9,1,872,28
石川,1879,54127,57,5,1769,62
福井,546,33010,3,0,518,25
山梨,941,27101,2,0,922,17
長野,2379,102965,19,0,2351,41
岐阜,4782,142390,110,9,4557,115
静岡,5281,204207,173,1,5009,99
愛知,26168,410546,523,30,25101,544
三重,2570,67122,90,4,2500,59
滋賀,2604,76965,179,6,2377,48
京都,9120,161034,164,2,8809,162
大阪,47811,841637,910,68,45346,1142
兵庫,18194,261380,349,31,17286,559
奈良,3414,85588,73,7,3293,48
和歌山,1168,24806,7,0,1119,18
鳥取,210,42929,2,0,203,2
島根,284,16183,1,0,283,0
岡山,2536,69524,44,1,2419,33
広島,5049,167414,33,3,4913,103
山口,1389,60724,31,0,1316,42
徳島,461,27790,21,2,423,17
香川,763,46127,17,0,728,18
愛媛,1067,34023,21,1,1022,24
高知,904,7178,19,3,866,19
福岡,18275,461680,397,16,17571,307
佐賀,1114,29115,68,1,1055,10
長崎,1613,70044,6,0,1570,37
熊本,3462,57117,27,2,3361,73
大分,1297,83474,13,0,1262,22
宮崎,1953,24802,11,1,1913,21
鹿児島,1762,69052,13,2,1749,27
沖縄,8354,150343,266,2,7973,120
(その他),149,-,0,-,149,-
合計,439454,8174837,11581,364,419201,8351
