都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1105,15221,166,11,849,90
青   森,27,878,0,0,26,1
岩    手,0,705,0,0,0,0
宮    城,88,3034,0,0,87,1
秋  田,16,942,0,0,16,0
山    形,69,2440,3,1,66,0
福    島,81,4871,5,0,76,0
茨    城,168,4772,3,0,155,10
栃    木,66,4567,9,0,58,0
群    馬,151,3845,10,1,122,19
埼    玉,1006,23184,37,4,918,51
千    葉,904,15225,20,4,839,45
東    京,5343,15681,347,26,4687,309
神 奈 川,1387,10327,137,19,1163,87
新    潟,83,4334,1,0,81,0
富    山,227,3482,7,0,198,22
石    川,299,2770,36,2,236,27
福    井,122,2786,2,1,112,8
山    梨,65,4259,2,0,62,1
長    野,76,2818,5,0,71,-
岐    阜,151,3827,2,1,142,7
静    岡,75,3593,2,0,72,1
愛    知,509,10467,8,0,462,34
三    重,45,2561,0,0,44,1
滋    賀,100,1931,5,1,94,1
京    都,358,8435,8,0,332,18
大    阪,1783,32461,78,15,1617,84
兵    庫,699,11432,10,4,647,42
奈    良,92,2898,1,0,89,2
和 歌 山,63,3759,0,0,60,3
鳥    取,3,1375,0,0,3,0
島    根,24,1153,1,1,23,0
岡    山,25,1747,0,-,25,-
広    島,168,7136,3,0,162,3
山    口,37,1818,1,1,36,0
徳    島,5,768,0,0,4,1
香    川,28,2256,0,0,28,0
愛    媛,82,2389,18,1,60,4
高    知,74,1824,0,0,71,3
福    岡,792,13785,132,5,633,27
佐    賀,47,1467,0,0,45,0
長    崎,17,2883,0,0,16,1
熊    本,48,3990,1,0,44,3
大    分,60,4169,1,0,58,1
宮    崎,17,1414,0,0,17,0
鹿 児 島,10,1964,0,0,10,0
沖    縄,142,2908,2,1,137,7
(その他),149,-,1,-,148,-
合計,16886,260551,1064,99,14901,914
