都道府県名,陽性者数 検査人数,,%
北海道,1105,15221,7.3%
青森,27,878,3.1%
岩手,0,705,0.0%
宮城,88,3034,2.9%
秋田,16,942,1.7%
山形,69,2440,2.8%
福島,81,4871,1.7%
茨城,168,4772,3.5%
栃木,66,4567,1.4%
群馬,151,3845,3.9%
埼玉,1006,23184,4.3%
千葉,904,15225,5.9%
東京,5343,15681,34.1%
神奈川,1387,10327,13.4%
新潟,83,4334,1.9%
富山,227,3482,6.5%
石川,299,2770,10.8%
福井,122,2786,4.4%
山梨,65,4259,1.5%
長野,76,2818,2.7%
岐阜,151,3827,3.9%
静岡,75,3593,2.1%
愛知,509,10467,4.9%
三重,45,2561,1.8%
滋賀,100,1931,5.2%
京都,358,8435,4.2%
大阪,1783,32461,5.5%
兵庫,699,11432,6.1%
奈良,92,2898,3.2%
和歌山,63,3759,1.7%
鳥取,3,1375,0.2%
島根,24,1153,2.1%
岡山,25,1747,1.4%
広島,168,7136,2.4%
山口,37,1818,2.0%
徳島,5,768,0.7%
香川,28,2256,1.2%
愛媛,82,2389,3.4%
高知,74,1824,4.1%
福岡,792,13785,5.7%
佐賀,47,1467,3.2%
長崎,17,2883,0.6%
熊本,48,3990,1.2%
大分,60,4169,1.4%
宮崎,17,1414,1.2%
鹿児島,10,1964,0.5%
沖縄,142,2908,4.9%
長崎船,149,-,-
合計,16886,260551,6.5%
