都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,20918,445036,773,18,19413,746
青森,950,24896,60,0,870,20
岩手,614,43481,34,0,550,30
宮城,5766,89194,1364,10,4372,30
秋田,283,7580,6,0,271,6
山形,915,34475,303,1,596,16
福島,2479,147166,258,11,2110,111
茨城,6703,26358,312,0,6264,127
栃木,4590,170767,171,2,4349,70
群馬,4986,113169,177,5,4710,99
埼玉,32676,643712,1322,37,30655,699
千葉,29528,473527,1137,23,27828,563
東京,120572,1752697,3135,39,115690,1747
神奈川,47934,690533,822,24,46334,778
新潟,1428,81440,173,2,1237,18
富山,936,41587,21,1,887,28
石川,1902,59717,12,0,1824,64
福井,583,35624,32,0,526,25
山梨,965,30877,8,0,938,19
長野,2753,115645,225,1,2513,41
岐阜,4937,157809,123,2,4690,124
静岡,5683,241750,220,2,5346,117
愛知,27208,460142,646,12,25985,577
三重,2734,76136,117,2,2627,70
滋賀,2753,86277,82,4,2617,54
京都,9430,174853,188,1,9079,169
大阪,51602,1033908,2748,90,47254,1182
兵庫,19672,293494,1072,63,18014,586
奈良,3725,95648,238,3,3433,54
和歌山,1273,26505,80,3,1151,18
鳥取,230,47160,10,0,205,2
島根,286,17590,1,0,285,0
岡山,2674,78444,76,4,2524,35
広島,5143,179526,69,1,4961,106
山口,1415,66920,23,0,1349,43
徳島,527,31763,64,2,445,18
香川,808,50520,40,0,752,19
愛媛,1332,38712,255,0,1053,24
高知,916,7437,11,2,886,19
福岡,18955,506321,369,8,18255,331
佐賀,1184,31785,32,1,1160,13
長崎,1629,76988,15,0,1577,38
熊本,3504,58021,21,2,3407,74
大分,1308,91767,9,1,1277,22
宮崎,1961,24817,8,0,1924,22
鹿児島,1823,72970,46,0,1771,28
沖縄,9371,163642,627,5,8622,128
(その他),149,-,0,-,149,-
合計,469713,9218386,17535,382,442735,9110
