都道府県名,陽性者数,検査人数,%
北海道,451,4245,10.6%
青森,22,474,4.6%
岩手,0,236,0.0%
宮城,84,1369,6.1%
秋田,16,736,2.2%
山形,64,1597,4.0%
福島,64,1131,5.7%
茨城,143,3343,4.3%
栃木,49,1481,3.3%
群馬,124,2103,5.9%
埼玉,662,4732,14.0%
千葉,683,3803,16.8%
東京,3197,8198,39.0%
神奈川,802,3912,18.7%
新潟,56,2107,2.7%
富山,114,1454,7.8%
石川,180,1115,16.1%
福井,113,1054,10.7%
山梨,49,1653,3.0%
長野,52,1401,3.7%
岐阜,139,2119,6.6%
静岡,52,2089,2.5%
愛知,406,5535,7.3%
三重,39,1397,2.8%
滋賀,72,776,9.3%
京都,259,2811,9.2%
大阪,1297,4938,23.7%
兵庫,524,5610,9.3%
奈良,64,919,7.0%
和歌山,46,2339,2.0%
鳥取,3,711,0.4%
島根,16,681,2.3%
岡山,19,930,2.0%
広島,137,3010,4.6%
山口,30,1119,2.7%
徳島,3,336,0.9%
香川,26,967,2.7%
愛媛,46,844,5.5%
高知,69,1167,5.9%
福岡,524,7263,7.2%
佐賀,17,587,2.9%
長崎,18,1461,1.2%
熊本,40,2350,1.7%
大分,55,2657,2.1%
宮崎,17,925,1.8%
鹿児島,10,841,1.2%
沖縄,121,1292,9.4%
合計,10974,101818,10.5%
