都道府県名,陽性者数 検査人数,,%
北海道,40633,738158,5.5%
青森,2451,48184,5.1%
岩手,1606,80435,2.0%
宮城,9046,151724,6.0%
秋田,764,14175,5.4%
山形,2012,63062,3.2%
福島,4721,264016,1.8%
茨城,10162,33007,30.8%
栃木,6713,274940,2.4%
群馬,7989,184615,4.3%
埼玉,45151,925325,4.9%
千葉,38582,645497,6.0%
東京,166915,2401438,7.0%
神奈川,64495,985166,6.5%
新潟,3371,157121,2.1%
富山,1969,69196,2.8%
石川,3883,113420,3.4%
福井,1069,62065,1.7%
山梨,1848,47764,3.9%
長野,4940,192433,2.6%
岐阜,9292,256919,3.6%
静岡,8891,379664,2.3%
愛知,49863,776818,6.4%
三重,5153,134562,3.8%
滋賀,5430,141251,3.8%
京都,16375,269973,6.1%
大阪,101941,1983403,5.1%
兵庫,40534,484826,8.4%
奈良,8099,160439,5.0%
和歌山,2654,41135,6.5%
鳥取,466,79855,0.6%
島根,551,28600,1.9%
岡山,7556,153838,4.9%
広島,11261,527692,2.1%
山口,3084,113166,2.7%
徳島,1647,61986,2.7%
香川,2074,81686,2.5%
愛媛,2738,91500,3.0%
高知,1683,10682,15.8%
福岡,35031,793984,4.4%
佐賀,2539,53545,4.7%
長崎,3070,118709,2.6%
熊本,6404,80455,8.0%
大分,3469,158749,2.2%
宮崎,3056,43735,7.0%
鹿児島,3605,107819,3.3%
沖縄,19669,237686,8.3%
長崎船,149,0,-
合計,774604,14824418,5.2%
